t 1 2 3 4 5 6 7 8 9 10 11 jE0800 jE0900 jF0002 jF1002 jxH1100 jyH1100 jV0408 jV0709 jVCC 
5.38 5 -968.039 0 -95.8039 -968.039 22.8 -98.0839 -96.8039 -99.0839 22.8 5e-05 0 0 9.80839e-05 9.58039e-05 0 5e-05 0 0 3.23804e-06
5.39 5 -967.451 0 -95.7451 -967.451 23.4 -98.0851 -96.7451 -99.0851 23.4 5e-05 0 0 9.80851e-05 9.57451e-05 0 5e-05 0 0 3.29745e-06
5.4 5 -966.863 0 -95.6863 -966.863 24 -98.0863 -96.6863 -99.0863 24 5e-05 0 0 9.80863e-05 9.56863e-05 0 5e-05 0 0 3.35686e-06
5.41 5 -966.275 0 -95.6275 -966.275 24.6 -98.0875 -96.6275 -99.0875 24.6 5e-05 0 0 9.80875e-05 9.56275e-05 0 5e-05 0 0 3.41627e-06
5.42 5 -965.686 0 -95.5686 -965.686 25.2 -98.0886 -96.5686 -99.0886 25.2 5e-05 0 0 9.80886e-05 9.55686e-05 0 5e-05 0 0 3.47569e-06
5.43 5 -965.098 0 -95.5098 -965.098 25.8 -98.0898 -96.5098 -99.0898 25.8 5e-05 0 0 9.80898e-05 9.55098e-05 0 5e-05 0 0 3.5351e-06
5.44 5 -964.51 0 -95.451 -964.51 26.4 -98.091 -96.451 -99.091 26.4 5e-05 0 0 9.8091e-05 9.5451e-05 0 5e-05 0 0 3.59451e-06
5.45 5 -963.922 0 -95.3922 -963.922 27 -98.0922 -96.3922 -99.0922 27 5e-05 0 0 9.80922e-05 9.53922e-05 0 5e-05 0 0 3.65392e-06
5.46 5 -963.333 0 -95.3333 -963.333 27.6 -98.0933 -96.3333 -99.0933 27.6 5e-05 0 0 9.80933e-05 9.53333e-05 0 5e-05 0 0 3.71333e-06
5.47 5 -962.745 0 -95.2745 -962.745 28.2 -98.0945 -96.2745 -99.0945 28.2 5e-05 0 0 9.80945e-05 9.52745e-05 0 5e-05 0 0 3.77275e-06
5.48 5 -962.157 0 -95.2157 -962.157 28.8 -98.0957 -96.2157 -99.0957 28.8 5e-05 0 0 9.80957e-05 9.52157e-05 0 5e-05 0 0 3.83216e-06
5.49 5 -961.569 0 -95.1569 -961.569 29.4 -98.0969 -96.1569 -99.0969 29.4 5e-05 0 0 9.80969e-05 9.51569e-05 0 5e-05 0 0 3.89157e-06
5.5 5 -960.98 0 -95.098 -960.98 30 -98.098 -96.098 -99.098 30 5e-05 0 0 9.8098e-05 9.5098e-05 0 5e-05 0 0 3.95098e-06
5.51 5 -961.569 0 -95.1569 -961.569 29.4 -98.0969 -96.1569 -99.0969 29.4 5e-05 0 0 9.80969e-05 9.51569e-05 0 5e-05 0 0 3.89157e-06
5.52 5 -962.157 0 -95.2157 -962.157 28.8 -98.0957 -96.2157 -99.0957 28.8 5e-05 0 0 9.80957e-05 9.52157e-05 0 5e-05 0 0 3.83216e-06
5.53 5 -962.745 0 -95.2745 -962.745 28.2 -98.0945 -96.2745 -99.0945 28.2 5e-05 0 0 9.80945e-05 9.52745e-05 0 5e-05 0 0 3.77275e-06
5.54 5 -963.333 0 -95.3333 -963.333 27.6 -98.0933 -96.3333 -99.0933 27.6 5e-05 0 0 9.80933e-05 9.53333e-05 0 5e-05 0 0 3.71333e-06
5.55 5 -963.922 0 -95.3922 -963.922 27 -98.0922 -96.3922 -99.0922 27 5e-05 0 0 9.80922e-05 9.53922e-05 0 5e-05 0 0 3.65392e-06
5.56 5 -964.51 0 -95.451 -964.51 26.4 -98.091 -96.451 -99.091 26.4 5e-05 0 0 9.8091e-05 9.5451e-05 0 5e-05 0 0 3.59451e-06
5.57 5 -965.098 0 -95.5098 -965.098 25.8 -98.0898 -96.5098 -99.0898 25.8 5e-05 0 0 9.80898e-05 9.55098e-05 0 5e-05 0 0 3.5351e-06
5.58 5 -965.686 0 -95.5686 -965.686 25.2 -98.0886 -96.5686 -99.0886 25.2 5e-05 0 0 9.80886e-05 9.55686e-05 0 5e-05 0 0 3.47569e-06
5.59 5 -966.275 0 -95.6275 -966.275 24.6 -98.0875 -96.6275 -99.0875 24.6 5e-05 0 0 9.80875e-05 9.56275e-05 0 5e-05 0 0 3.41627e-06
5.6 5 -966.863 0 -95.6863 -966.863 24 -98.0863 -96.6863 -99.0863 24 5e-05 0 0 9.80863e-05 9.56863e-05 0 5e-05 0 0 3.35686e-06
5.61 5 -967.451 0 -95.7451 -967.451 23.4 -98.0851 -96.7451 -99.0851 23.4 5e-05 0 0 9.80851e-05 9.57451e-05 0 5e-05 0 0 3.29745e-06
5.62 5 -968.039 0 -95.8039 -968.039 22.8 -98.0839 -96.8039 -99.0839 22.8 5e-05 0 0 9.80839e-05 9.58039e-05 0 5e-05 0 0 3.23804e-06
5.63 5 -968.627 0 -95.8627 -968.627 22.2 -98.0827 -96.8627 -99.0827 22.2 5e-05 0 0 9.80827e-05 9.58627e-05 0 5e-05 0 0 3.17863e-06
5.64 5 -969.216 0 -95.9216 -969.216 21.6 -98.0816 -96.9216 -99.0816 21.6 5e-05 0 0 9.80816e-05 9.59216e-05 0 5e-05 0 0 3.11922e-06
5.65 5 -969.804 0 -95.9804 -969.804 21 -98.0804 -96.9804 -99.0804 21 5e-05 0 0 9.80804e-05 9.59804e-05 0 5e-05 0 0 3.0598e-06
5.66 5 -970.392 0 -96.0392 -970.392 20.4 -98.0792 -97.0392 -99.0792 20.4 5e-05 0 0 9.80792e-05 9.60392e-05 0 5e-05 0 0 3.00039e-06
5.67 5 -970.98 0 -96.098 -970.98 19.8 -98.078 -97.098 -99.078 19.8 5e-05 0 0 9.8078e-05 9.6098e-05 0 5e-05 0 0 2.94098e-06
5.68 5 -971.569 0 -96.1569 -971.569 19.2 -98.0769 -97.1569 -99.0769 19.2 5e-05 0 0 9.80769e-05 9.61569e-05 0 5e-05 0 0 2.88157e-06
5.69 5 -972.157 0 -96.2157 -972.157 18.6 -98.0757 -97.2157 -99.0757 18.6 5e-05 0 0 9.80757e-05 9.62157e-05 0 5e-05 0 0 2.82216e-06
5.7 5 -972.745 0 -96.2745 -972.745 18 -98.0745 -97.2745 -99.0745 18 5e-05 0 0 9.80745e-05 9.62745e-05 0 5e-05 0 0 2.76275e-06
5.71 5 -973.333 0 -96.3333 -973.333 17.4 -98.0733 -97.3333 -99.0733 17.4 5e-05 0 0 9.80733e-05 9.63333e-05 0 5e-05 0 0 2.70333e-06
5.72 5 -973.922 0 -96.3922 -973.922 16.8 -98.0722 -97.3922 -99.0722 16.8 5e-05 0 0 9.80722e-05 9.63922e-05 0 5e-05 0 0 2.64392e-06
5.73 5 -974.51 0 -96.451 -974.51 16.2 -98.071 -97.451 -99.071 16.2 5e-05 0 0 9.8071e-05 9.6451e-05 0 5e-05 0 0 2.58451e-06
5.74 5 -975.098 0 -96.5098 -975.098 15.6 -98.0698 -97.5098 -99.0698 15.6 5e-05 0 0 9.80698e-05 9.65098e-05 0 5e-05 0 0 2.5251e-06
5.75 5 -975.686 0 -96.5686 -975.686 15 -98.0686 -97.5686 -99.0686 15 5e-05 0 0 9.80686e-05 9.65686e-05 0 5e-05 0 0 2.46569e-06
5.76 5 -976.275 0 -96.6275 -976.275 14.4 -98.0675 -97.6275 -99.0675 14.4 5e-05 0 0 9.80675e-05 9.66275e-05 0 5e-05 0 0 2.40627e-06
5.77 5 -976.863 0 -96.6863 -976.863 13.8 -98.0663 -97.6863 -99.0663 13.8 5e-05 0 0 9.80663e-05 9.66863e-05 0 5e-05 0 0 2.34686e-06
5.78 5 -977.451 0 -96.7451 -977.451 13.2 -98.0651 -97.7451 -99.0651 13.2 5e-05 0 0 9.80651e-05 9.67451e-05 0 5e-05 0 0 2.28745e-06
5.79 5 -978.039 0 -96.8039 -978.039 12.6 -98.0639 -97.8039 -99.0639 12.6 5e-05 0 0 9.80639e-05 9.68039e-05 0 5e-05 0 0 2.22804e-06
5.8 5 -978.627 0 -96.8627 -978.627 12 -98.0627 -97.8627 -99.0627 12 5e-05 0 0 9.80627e-05 9.68627e-05 0 5e-05 0 0 2.16863e-06
5.81 5 -979.216 0 -96.9216 -979.216 11.4 -98.0616 -97.9216 -99.0616 11.4 5e-05 0 0 9.80616e-05 9.69216e-05 0 5e-05 0 0 2.10922e-06
5.82 5 -979.804 0 -96.9804 -979.804 10.8 -98.0604 -97.9804 -99.0604 10.8 5e-05 0 0 9.80604e-05 9.69804e-05 0 5e-05 0 0 2.0498e-06
5.83 5 -980.392 0 -97.0392 -980.392 10.2 -98.0592 -98.0392 -99.0592 10.2 5e-05 0 0 9.80592e-05 9.70392e-05 0 5e-05 0 0 1.99039e-06
5.84 5 -980.98 0 -97.098 -980.98 9.6 -98.058 -98.098 -99.058 9.6 5e-05 0 0 9.8058e-05 9.7098e-05 0 5e-05 0 0 1.93098e-06
5.85 5 -981.569 0 -97.1569 -981.569 9 -98.0569 -98.1569 -99.0569 9 5e-05 0 0 9.80569e-05 9.71569e-05 0 5e-05 0 0 1.87157e-06
5.86 5 -982.157 0 -97.2157 -982.157 8.4 -98.0557 -98.2157 -99.0557 8.4 5e-05 0 0 9.80557e-05 9.72157e-05 0 5e-05 0 0 1.81216e-06
5.87 5 -982.745 0 -97.2745 -982.745 7.8 -98.0545 -98.2745 -99.0545 7.8 5e-05 0 0 9.80545e-05 9.72745e-05 0 5e-05 0 0 1.75275e-06
5.88 5 -983.333 0 -97.3333 -983.333 7.2 -98.0533 -98.3333 -99.0533 7.2 5e-05 0 0 9.80533e-05 9.73333e-05 0 5e-05 0 0 1.69333e-06
5.89 5 -983.922 0 -97.3922 -983.922 6.6 -98.0522 -98.3922 -99.0522 6.6 5e-05 0 0 9.80522e-05 9.73922e-05 0 5e-05 0 0 1.63392e-06
5.9 5 -984.51 0 -97.451 -984.51 6 -98.051 -98.451 -99.051 6 5e-05 0 0 9.8051e-05 9.7451e-05 0 5e-05 0 0 1.57451e-06
5.91 5 -985.098 0 -97.5098 -985.098 5.4 -98.0498 -98.5098 -99.0498 5.4 5e-05 0 0 9.80498e-05 9.75098e-05 0 5e-05 0 0 1.5151e-06
5.92 5 -985.686 0 -97.5686 -985.686 4.8 -98.0486 -98.5686 -99.0486 4.8 5e-05 0 0 9.80486e-05 9.75686e-05 0 5e-05 0 0 1.45569e-06
5.93 5 -986.275 0 -97.6275 -986.275 4.2 -98.0475 -98.6275 -99.0475 4.2 5e-05 0 0 9.80475e-05 9.76275e-05 0 5e-05 0 0 1.39627e-06
5.94 5 -986.863 0 -97.6863 -986.863 3.6 -98.0463 -98.6863 -99.0463 3.6 5e-05 0 0 9.80463e-05 9.76863e-05 0 5e-05 0 0 1.33686e-06
5.95 5 -987.451 0 -97.7451 -987.451 3 -98.0451 -98.7451 -99.0451 3 5e-05 0 0 9.80451e-05 9.77451e-05 0 5e-05 0 0 1.27745e-06
5.96 5 -988.039 0 -97.8039 -988.039 2.4 -98.0439 -98.8039 -99.0439 2.4 5e-05 0 0 9.80439e-05 9.78039e-05 0 5e-05 0 0 1.21804e-06
5.97 5 -988.627 0 -97.8627 -988.627 1.8 -98.0427 -98.8627 -99.0427 1.8 5e-05 0 0 9.80427e-05 9.78627e-05 0 5e-05 0 0 1.15863e-06
5.98 5 -989.216 0 -97.9216 -989.216 1.2 -98.0416 -98.9216 -99.0416 1.2 5e-05 0 0 9.80416e-05 9.79216e-05 0 5e-05 0 0 1.09922e-06
5.99 5 -989.804 0 -97.9804 -989.804 0.6 -98.0404 -98.9804 -99.0404 0.6 5e-05 0 0 9.80404e-05 9.79804e-05 0 5e-05 0 0 1.0398e-06
6 5 -990.392 0 -98.0392 -990.392 5.00933e-12 -98.0392 -99.0392 -99.0392 5.00933e-12 5e-05 0 0 9.80392e-05 9.80392e-05 0 5e-05 0 0 9.80392e-07
6.01 6 -1185.88 0 -117.588 -1185.88 0.6 -117.648 -118.588 -118.648 0.6 6e-05 0 0 0.000117648 0.000117588 0 6e-05 0 0 1.23588e-06
6.02 6 -1185.29 0 -117.529 -1185.29 1.2 -117.649 -118.529 -118.649 1.2 6e-05 0 0 0.000117649 0.000117529 0 6e-05 0 0 1.29529e-06
6.03 6 -1184.71 0 -117.471 -1184.71 1.8 -117.651 -118.471 -118.651 1.8 6e-05 0 0 0.000117651 0.000117471 0 6e-05 0 0 1.35471e-06
6.04 6 -1184.12 0 -117.412 -1184.12 2.4 -117.652 -118.412 -118.652 2.4 6e-05 0 0 0.000117652 0.000117412 0 6e-05 0 0 1.41412e-06
6.05 6 -1183.53 0 -117.353 -1183.53 3 -117.653 -118.353 -118.653 3 6e-05 0 0 0.000117653 0.000117353 0 6e-05 0 0 1.47353e-06
6.06 6 -1182.94 0 -117.294 -1182.94 3.6 -117.654 -118.294 -118.654 3.6 6e-05 0 0 0.000117654 0.000117294 0 6e-05 0 0 1.53294e-06
6.07 6 -1182.35 0 -117.235 -1182.35 4.2 -117.655 -118.235 -118.655 4.2 6e-05 0 0 0.000117655 0.000117235 0 6e-05 0 0 1.59235e-06
6.08 6 -1181.76 0 -117.176 -1181.76 4.8 -117.656 -118.176 -118.656 4.8 6e-05 0 0 0.000117656 0.000117176 0 6e-05 0 0 1.65176e-06
6.09 6 -1181.18 0 -117.118 -1181.18 5.4 -117.658 -118.118 -118.658 5.4 6e-05 0 0 0.000117658 0.000117118 0 6e-05 0 0 1.71118e-06
6.1 6 -1180.59 0 -117.059 -1180.59 6 -117.659 -118.059 -118.659 6 6e-05 0 0 0.000117659 0.000117059 0 6e-05 0 0 1.77059e-06
6.11 6 -1180 0 -117 -1180 6.6 -117.66 -118 -118.66 6.6 6e-05 0 0 0.00011766 0.000117 0 6e-05 0 0 1.83e-06
6.12 6 -1179.41 0 -116.941 -1179.41 7.2 -117.661 -117.941 -118.661 7.2 6e-05 0 0 0.000117661 0.000116941 0 6e-05 0 0 1.88941e-06
6.13 6 -1178.82 0 -116.882 -1178.82 7.8 -117.662 -117.882 -118.662 7.8 6e-05 0 0 0.000117662 0.000116882 0 6e-05 0 0 1.94882e-06
6.14 6 -1178.24 0 -116.824 -1178.24 8.4 -117.664 -117.824 -118.664 8.4 6e-05 0 0 0.000117664 0.000116824 0 6e-05 0 0 2.00824e-06
6.15 6 -1177.65 0 -116.765 -1177.65 9 -117.665 -117.765 -118.665 9 6e-05 0 0 0.000117665 0.000116765 0 6e-05 0 0 2.06765e-06
6.16 6 -1177.06 0 -116.706 -1177.06 9.6 -117.666 -117.706 -118.666 9.6 6e-05 0 0 0.000117666 0.000116706 0 6e-05 0 0 2.12706e-06
6.17 6 -1176.47 0 -116.647 -1176.47 10.2 -117.667 -117.647 -118.667 10.2 6e-05 0 0 0.000117667 0.000116647 0 6e-05 0 0 2.18647e-06
6.18 6 -1175.88 0 -116.588 -1175.88 10.8 -117.668 -117.588 -118.668 10.8 6e-05 0 0 0.000117668 0.000116588 0 6e-05 0 0 2.24588e-06
6.19 6 -1175.29 0 -116.529 -1175.29 11.4 -117.669 -117.529 -118.669 11.4 6e-05 0 0 0.000117669 0.000116529 0 6e-05 0 0 2.30529e-06
6.2 6 -1174.71 0 -116.471 -1174.71 12 -117.671 -117.471 -118.671 12 6e-05 0 0 0.000117671 0.000116471 0 6e-05 0 0 2.36471e-06
6.21 6 -1174.12 0 -116.412 -1174.12 12.6 -117.672 -117.412 -118.672 12.6 6e-05 0 0 0.000117672 0.000116412 0 6e-05 0 0 2.42412e-06
6.22 6 -1173.53 0 -116.353 -1173.53 13.2 -117.673 -117.353 -118.673 13.2 6e-05 0 0 0.000117673 0.000116353 0 6e-05 0 0 2.48353e-06
6.23 6 -1172.94 0 -116.294 -1172.94 13.8 -117.674 -117.294 -118.674 13.8 6e-05 0 0 0.000117674 0.000116294 0 6e-05 0 0 2.54294e-06
6.24 6 -1172.35 0 -116.235 -1172.35 14.4 -117.675 -117.235 -118.675 14.4 6e-05 0 0 0.000117675 0.000116235 0 6e-05 0 0 2.60235e-06
6.25 6 -1171.76 0 -116.176 -1171.76 15 -117.676 -117.176 -118.676 15 6e-05 0 0 0.000117676 0.000116176 0 6e-05 0 0 2.66176e-06
6.26 6 -1171.18 0 -116.118 -1171.18 15.6 -117.678 -117.118 -118.678 15.6 6e-05 0 0 0.000117678 0.000116118 0 6e-05 0 0 2.72118e-06
6.27 6 -1170.59 0 -116.059 -1170.59 16.2 -117.679 -117.059 -118.679 16.2 6e-05 0 0 0.000117679 0.000116059 0 6e-05 0 0 2.78059e-06
6.28 6 -1170 0 -116 -1170 16.8 -117.68 -117 -118.68 16.8 6e-05 0 0 0.00011768 0.000116 0 6e-05 0 0 2.84e-06
6.29 6 -1169.41 0 -115.941 -1169.41 17.4 -117.681 -116.941 -118.681 17.4 6e-05 0 0 0.000117681 0.000115941 0 6e-05 0 0 2.89941e-06
6.3 6 -1168.82 0 -115.882 -1168.82 18 -117.682 -116.882 -118.682 18 6e-05 0 0 0.000117682 0.000115882 0 6e-05 0 0 2.95882e-06
6.31 6 -1168.24 0 -115.824 -1168.24 18.6 -117.684 -116.824 -118.684 18.6 6e-05 0 0 0.000117684 0.000115824 0 6e-05 0 0 3.01824e-06
6.32 6 -1167.65 0 -115.765 -1167.65 19.2 -117.685 -116.765 -118.685 19.2 6e-05 0 0 0.000117685 0.000115765 0 6e-05 0 0 3.07765e-06
6.33 6 -1167.06 0 -115.706 -1167.06 19.8 -117.686 -116.706 -118.686 19.8 6e-05 0 0 0.000117686 0.000115706 0 6e-05 0 0 3.13706e-06
6.34 6 -1166.47 0 -115.647 -1166.47 20.4 -117.687 -116.647 -118.687 20.4 6e-05 0 0 0.000117687 0.000115647 0 6e-05 0 0 3.19647e-06
6.35 6 -1165.88 0 -115.588 -1165.88 21 -117.688 -116.588 -118.688 21 6e-05 0 0 0.000117688 0.000115588 0 6e-05 0 0 3.25588e-06
6.36 6 -1165.29 0 -115.529 -1165.29 21.6 -117.689 -116.529 -118.689 21.6 6e-05 0 0 0.000117689 0.000115529 0 6e-05 0 0 3.31529e-06
6.37 6 -1164.71 0 -115.471 -1164.71 22.2 -117.691 -116.471 -118.691 22.2 6e-05 0 0 0.000117691 0.000115471 0 6e-05 0 0 3.37471e-06
6.38 6 -1164.12 0 -115.412 -1164.12 22.8 -117.692 -116.412 -118.692 22.8 6e-05 0 0 0.000117692 0.000115412 0 6e-05 0 0 3.43412e-06
6.39 6 -1163.53 0 -115.353 -1163.53 23.4 -117.693 -116.353 -118.693 23.4 6e-05 0 0 0.000117693 0.000115353 0 6e-05 0 0 3.49353e-06
6.4 6 -1162.94 0 -115.294 -1162.94 24 -117.694 -116.294 -118.694 24 6e-05 0 0 0.000117694 0.000115294 0 6e-05 0 0 3.55294e-06
6.41 6 -1162.35 0 -115.235 -1162.35 24.6 -117.695 -116.235 -118.695 24.6 6e-05 0 0 0.000117695 0.000115235 0 6e-05 0 0 3.61235e-06
6.42 6 -1161.76 0 -115.176 -1161.76 25.2 -117.696 -116.176 -118.696 25.2 6e-05 0 0 0.000117696 0.000115176 0 6e-05 0 0 3.67176e-06
6.43 6 -1161.18 0 -115.118 -1161.18 25.8 -117.698 -116.118 -118.698 25.8 6e-05 0 0 0.000117698 0.000115118 0 6e-05 0 0 3.73118e-06
6.44 6 -1160.59 0 -115.059 -1160.59 26.4 -117.699 -116.059 -118.699 26.4 6e-05 0 0 0.000117699 0.000115059 0 6e-05 0 0 3.79059e-06
6.45 6 -1160 0 -115 -1160 27 -117.7 -116 -118.7 27 6e-05 0 0 0.0001177 0.000115 0 6e-05 0 0 3.85e-06
6.46 6 -1159.41 0 -114.941 -1159.41 27.6 -117.701 -115.941 -118.701 27.6 6e-05 0 0 0.000117701 0.000114941 0 6e-05 0 0 3.90941e-06
6.47 6 -1158.82 0 -114.882 -1158.82 28.2 -117.702 -115.882 -118.702 28.2 6e-05 0 0 0.000117702 0.000114882 0 6e-05 0 0 3.96882e-06
6.48 6 -1158.24 0 -114.824 -1158.24 28.8 -117.704 -115.824 -118.704 28.8 6e-05 0 0 0.000117704 0.000114824 0 6e-05 0 0 4.02824e-06
6.49 6 -1157.65 0 -114.765 -1157.65 29.4 -117.705 -115.765 -118.705 29.4 6e-05 0 0 0.000117705 0.000114765 0 6e-05 0 0 4.08765e-06
6.5 6 -1157.06 0 -114.706 -1157.06 30 -117.706 -115.706 -118.706 30 6e-05 0 0 0.000117706 0.000114706 0 6e-05 0 0 4.14706e-06
6.51 6 -1157.65 0 -114.765 -1157.65 29.4 -117.705 -115.765 -118.705 29.4 6e-05 0 0 0.000117705 0.000114765 0 6e-05 0 0 4.08765e-06
6.52 6 -1158.24 0 -114.824 -1158.24 28.8 -117.704 -115.824 -118.704 28.8 6e-05 0 0 0.000117704 0.000114824 0 6e-05 0 0 4.02824e-06
6.53 6 -1158.82 0 -114.882 -1158.82 28.2 -117.702 -115.882 -118.702 28.2 6e-05 0 0 0.000117702 0.000114882 0 6e-05 0 0 3.96882e-06
6.54 6 -1159.41 0 -114.941 -1159.41 27.6 -117.701 -115.941 -118.701 27.6 6e-05 0 0 0.000117701 0.000114941 0 6e-05 0 0 3.90941e-06
6.55 6 -1160 0 -115 -1160 27 -117.7 -116 -118.7 27 6e-05 0 0 0.0001177 0.000115 0 6e-05 0 0 3.85e-06
6.56 6 -1160.59 0 -115.059 -1160.59 26.4 -117.699 -116.059 -118.699 26.4 6e-05 0 0 0.000117699 0.000115059 0 6e-05 0 0 3.79059e-06
6.57 6 -1161.18 0 -115.118 -1161.18 25.8 -117.698 -116.118 -118.698 25.8 6e-05 0 0 0.000117698 0.000115118 0 6e-05 0 0 3.73118e-06
6.58 6 -1161.76 0 -115.176 -1161.76 25.2 -117.696 -116.176 -118.696 25.2 6e-05 0 0 0.000117696 0.000115176 0 6e-05 0 0 3.67176e-06
6.59 6 -1162.35 0 -115.235 -1162.35 24.6 -117.695 -116.235 -118.695 24.6 6e-05 0 0 0.000117695 0.000115235 0 6e-05 0 0 3.61235e-06
6.6 6 -1162.94 0 -115.294 -1162.94 24 -117.694 -116.294 -118.694 24 6e-05 0 0 0.000117694 0.000115294 0 6e-05 0 0 3.55294e-06
6.61 6 -1163.53 0 -115.353 -1163.53 23.4 -117.693 -116.353 -118.693 23.4 6e-05 0 0 0.000117693 0.000115353 0 6e-05 0 0 3.49353e-06
6.62 6 -1164.12 0 -115.412 -1164.12 22.8 -117.692 -116.412 -118.692 22.8 6e-05 0 0 0.000117692 0.000115412 0 6e-05 0 0 3.43412e-06
6.63 6 -1164.71 0 -115.471 -1164.71 22.2 -117.691 -116.471 -118.691 22.2 6e-05 0 0 0.000117691 0.000115471 0 6e-05 0 0 3.37471e-06
6.64 6 -1165.29 0 -115.529 -1165.29 21.6 -117.689 -116.529 -118.689 21.6 6e-05 0 0 0.000117689 0.000115529 0 6e-05 0 0 3.31529e-06
6.65 6 -1165.88 0 -115.588 -1165.88 21 -117.688 -116.588 -118.688 21 6e-05 0 0 0.000117688 0.000115588 0 6e-05 0 0 3.25588e-06
6.66 6 -1166.47 0 -115.647 -1166.47 20.4 -117.687 -116.647 -118.687 20.4 6e-05 0 0 0.000117687 0.000115647 0 6e-05 0 0 3.19647e-06
6.67 6 -1167.06 0 -115.706 -1167.06 19.8 -117.686 -116.706 -118.686 19.8 6e-05 0 0 0.000117686 0.000115706 0 6e-05 0 0 3.13706e-06
6.68 6 -1167.65 0 -115.765 -1167.65 19.2 -117.685 -116.765 -118.685 19.2 6e-05 0 0 0.000117685 0.000115765 0 6e-05 0 0 3.07765e-06
6.69 6 -1168.24 0 -115.824 -1168.24 18.6 -117.684 -116.824 -118.684 18.6 6e-05 0 0 0.000117684 0.000115824 0 6e-05 0 0 3.01824e-06
6.7 6 -1168.82 0 -115.882 -1168.82 18 -117.682 -116.882 -118.682 18 6e-05 0 0 0.000117682 0.000115882 0 6e-05 0 0 2.95882e-06
6.71 6 -1169.41 0 -115.941 -1169.41 17.4 -117.681 -116.941 -118.681 17.4 6e-05 0 0 0.000117681 0.000115941 0 6e-05 0 0 2.89941e-06
6.72 6 -1170 0 -116 -1170 16.8 -117.68 -117 -118.68 16.8 6e-05 0 0 0.00011768 0.000116 0 6e-05 0 0 2.84e-06
6.73 6 -1170.59 0 -116.059 -1170.59 16.2 -117.679 -117.059 -118.679 16.2 6e-05 0 0 0.000117679 0.000116059 0 6e-05 0 0 2.78059e-06
6.74 6 -1171.18 0 -116.118 -1171.18 15.6 -117.678 -117.118 -118.678 15.6 6e-05 0 0 0.000117678 0.000116118 0 6e-05 0 0 2.72118e-06
6.75 6 -1171.76 0 -116.176 -1171.76 15 -117.676 -117.176 -118.676 15 6e-05 0 0 0.000117676 0.000116176 0 6e-05 0 0 2.66176e-06
6.76 6 -1172.35 0 -116.235 -1172.35 14.4 -117.675 -117.235 -118.675 14.4 6e-05 0 0 0.000117675 0.000116235 0 6e-05 0 0 2.60235e-06
6.77 6 -1172.94 0 -116.294 -1172.94 13.8 -117.674 -117.294 -118.674 13.8 6e-05 0 0 0.000117674 0.000116294 0 6e-05 0 0 2.54294e-06
6.78 6 -1173.53 0 -116.353 -1173.53 13.2 -117.673 -117.353 -118.673 13.2 6e-05 0 0 0.000117673 0.000116353 0 6e-05 0 0 2.48353e-06
6.79 6 -1174.12 0 -116.412 -1174.12 12.6 -117.672 -117.412 -118.672 12.6 6e-05 0 0 0.000117672 0.000116412 0 6e-05 0 0 2.42412e-06
6.8 6 -1174.71 0 -116.471 -1174.71 12 -117.671 -117.471 -118.671 12 6e-05 0 0 0.000117671 0.000116471 0 6e-05 0 0 2.36471e-06
6.81 6 -1175.29 0 -116.529 -1175.29 11.4 -117.669 -117.529 -118.669 11.4 6e-05 0 0 0.000117669 0.000116529 0 6e-05 0 0 2.30529e-06
6.82 6 -1175.88 0 -116.588 -1175.88 10.8 -117.668 -117.588 -118.668 10.8 6e-05 0 0 0.000117668 0.000116588 0 6e-05 0 0 2.24588e-06
6.83 6 -1176.47 0 -116.647 -1176.47 10.2 -117.667 -117.647 -118.667 10.2 6e-05 0 0 0.000117667 0.000116647 0 6e-05 0 0 2.18647e-06
6.84 6 -1177.06 0 -116.706 -1177.06 9.6 -117.666 -117.706 -118.666 9.6 6e-05 0 0 0.000117666 0.000116706 0 6e-05 0 0 2.12706e-06
6.85 6 -1177.65 0 -116.765 -1177.65 9 -117.665 -117.765 -118.665 9 6e-05 0 0 0.000117665 0.000116765 0 6e-05 0 0 2.06765e-06
6.86 6 -1178.24 0 -116.824 -1178.24 8.4 -117.664 -117.824 -118.664 8.4 6e-05 0 0 0.000117664 0.000116824 0 6e-05 0 0 2.00824e-06
6.87 6 -1178.82 0 -116.882 -1178.82 7.8 -117.662 -117.882 -118.662 7.8 6e-05 0 0 0.000117662 0.000116882 0 6e-05 0 0 1.94882e-06
6.88 6 -1179.41 0 -116.941 -1179.41 7.2 -117.661 -117.941 -118.661 7.2 6e-05 0 0 0.000117661 0.000116941 0 6e-05 0 0 1.88941e-06
6.89 6 -1180 0 -117 -1180 6.6 -117.66 -118 -118.66 6.6 6e-05 0 0 0.00011766 0.000117 0 6e-05 0 0 1.83e-06
6.9 6 -1180.59 0 -117.059 -1180.59 6 -117.659 -118.059 -118.659 6 6e-05 0 0 0.000117659 0.000117059 0 6e-05 0 0 1.77059e-06
6.91 6 -1181.18 0 -117.118 -1181.18 5.4 -117.658 -118.118 -118.658 5.4 6e-05 0 0 0.000117658 0.000117118 0 6e-05 0 0 1.71118e-06
6.92 6 -1181.76 0 -117.176 -1181.76 4.8 -117.656 -118.176 -118.656 4.8 6e-05 0 0 0.000117656 0.000117176 0 6e-05 0 0 1.65176e-06
6.93 6 -1182.35 0 -117.235 -1182.35 4.2 -117.655 -118.235 -118.655 4.2 6e-05 0 0 0.000117655 0.000117235 0 6e-05 0 0 1.59235e-06
