t 1 2 3 4 5 6 7 8 9 jL1 jL2 jE11 jO1 jV1 
0.66 -0.609015 -1.82705 -1.59828 -0.707302 -1.39387 -0.609015 0.679304 1.84084 -2.82705 0.868089 -0.0475704 1.79028 2.78773 -2.17872
0.68 -0.624463 -1.87339 -1.59828 -0.707302 -1.39682 -0.624463 0.661602 1.93726 -2.87339 0.885131 -0.0482055 1.79028 2.79365 -2.16918
0.7 -0.639654 -1.91896 -1.59828 -0.707302 -1.39922 -0.639654 0.643573 2.03481 -2.91896 0.901428 -0.0487764 1.79028 2.79844 -2.15879
0.72 -0.654583 -1.96375 -1.59828 -0.707302 -1.40106 -0.654583 0.625234 2.13337 -2.96375 0.916966 -0.049282 1.79028 2.80212 -2.14754
0.74 -0.669245 -2.00774 -1.59828 -0.707302 -1.40234 -0.669245 0.606599 2.23282 -3.00774 0.931736 -0.0497216 1.79028 2.80467 -2.13543
0.76 -0.683634 -2.0509 -1.59828 -0.707302 -1.40305 -0.683634 0.587684 2.333 -3.0509 0.945727 -0.0500945 1.79028 2.8061 -2.12247
0.78 -0.697743 -2.09323 -1.59828 -0.707302 -1.40321 -0.697743 0.568506 2.4338 -3.09323 0.958929 -0.0503998 1.79028 2.80641 -2.10867
0.8 -0.711568 -2.1347 -1.59828 -0.707302 -1.4028 -0.711568 0.549079 2.53508 -3.1347 0.971335 -0.0506372 1.79028 2.8056 -2.09403
0.82 -0.725102 -2.17531 -1.59828 -0.707302 -1.40183 -0.725102 0.529421 2.63669 -3.17531 0.982935 -0.0508059 1.79028 2.80366 -2.07856
0.84 -0.738341 -2.21502 -1.59828 -0.707302 -1.4003 -0.738341 0.509546 2.7385 -3.21502 0.993724 -0.0509055 1.79028 2.80061 -2.06227
0.86 -0.75128 -2.25384 -1.59828 -0.707302 -1.39822 -0.75128 0.489472 2.84037 -3.25384 1.00369 -0.0509356 1.79028 2.79644 -2.04516
0.88 -0.763913 -2.29174 -1.59828 -0.707302 -1.39557 -0.763913 0.469215 2.94216 -3.29174 1.01284 -0.050896 1.79028 2.79115 -2.02723
0.9 -0.776236 -2.32871 -1.59828 -0.707302 -1.39237 -0.776236 0.448792 3.04374 -3.32871 1.02116 -0.0507863 1.79028 2.78474 -2.00851
0.92 -0.788243 -2.36473 -1.59828 -0.707302 -1.38861 -0.788243 0.428219 3.14495 -3.36473 1.02864 -0.0506064 1.79028 2.77723 -1.98898
0.94 -0.799931 -2.39979 -1.59828 -0.707302 -1.3843 -0.799931 0.407513 3.24566 -3.39979 1.03529 -0.0503562 1.79028 2.7686 -1.96867
0.96 -0.811294 -2.43388 -1.59828 -0.707302 -1.37944 -0.811294 0.386691 3.34573 -3.43388 1.0411 -0.0500357 1.79028 2.75888 -1.94758
0.98 -0.822328 -2.46698 -1.59828 -0.707302 -1.37403 -0.822328 0.36577 3.44502 -3.46698 1.04607 -0.049645 1.79028 2.74805 -1.92573
1 -0.833029 -2.49909 -1.59828 -0.707302 -1.36807 -0.833029 0.344766 3.54339 -3.49909 1.0502 -0.0491841 1.79028 2.73613 -1.90311
1.02 -0.843392 -2.53018 -1.59828 -0.707302 -1.36156 -0.843392 0.323696 3.6407 -3.53018 1.05349 -0.0486533 1.79028 2.72312 -1.87973
1.04 -0.853414 -2.56024 -1.59828 -0.707302 -1.35452 -0.853414 0.302577 3.7368 -3.56024 1.05594 -0.0480529 1.79028 2.70903 -1.85562
1.06 -0.863091 -2.58927 -1.59828 -0.707302 -1.34693 -0.863091 0.281426 3.83157 -3.58927 1.05755 -0.0473832 1.79028 2.69386 -1.83077
1.08 -0.872419 -2.61726 -1.59828 -0.707302 -1.33881 -0.872419 0.260259 3.92486 -3.61726 1.05833 -0.0466447 1.79028 2.67762 -1.8052
1.1 -0.881394 -2.64418 -1.59828 -0.707302 -1.33016 -0.881394 0.239094 4.01654 -3.64418 1.05827 -0.0458378 1.79028 2.66032 -1.77892
1.12 -0.890013 -2.67004 -1.59828 -0.707302 -1.32098 -0.890013 0.217947 4.10646 -3.67004 1.05738 -0.0449632 1.79028 2.64195 -1.75194
1.14 -0.898273 -2.69482 -1.59828 -0.707302 -1.31127 -0.898273 0.196833 4.1945 -3.69482 1.05567 -0.0440215 1.79028 2.62254 -1.72427
1.16 -0.906171 -2.71851 -1.59828 -0.707302 -1.30105 -0.906171 0.175771 4.28053 -3.71851 1.05313 -0.0430134 1.79028 2.60209 -1.69592
1.18 -0.913703 -2.74111 -1.59828 -0.707302 -1.2903 -0.913703 0.154775 4.36441 -3.74111 1.04979 -0.0419397 1.79028 2.58061 -1.6669
1.2 -0.920866 -2.7626 -1.59828 -0.707302 -1.27905 -0.920866 0.133862 4.44601 -3.7626 1.04563 -0.0408013 1.79028 2.5581 -1.63723
1.22 -0.927659 -2.78298 -1.59828 -0.707302 -1.26729 -0.927659 0.113049 4.52521 -3.78298 1.04068 -0.0395991 1.79028 2.53458 -1.60692
1.24 -0.934078 -2.80223 -1.59828 -0.707302 -1.25503 -0.934078 0.0923499 4.60188 -3.80223 1.03494 -0.0383342 1.79028 2.51005 -1.57598
1.26 -0.940121 -2.82036 -1.59828 -0.707302 -1.24227 -0.940121 0.0717816 4.6759 -3.82036 1.02841 -0.0370076 1.79028 2.48453 -1.54441
1.28 -0.945786 -2.83736 -1.59828 -0.707302 -1.22902 -0.945786 0.0513593 4.74714 -3.83736 1.02112 -0.0356204 1.79028 2.45803 -1.51225
1.3 -0.95107 -2.85321 -1.59828 -0.707302 -1.21528 -0.95107 0.031098 4.81548 -3.85321 1.01306 -0.0341739 1.79028 2.43056 -1.47949
1.32 -0.955971 -2.86791 -1.59828 -0.707302 -1.20106 -0.955971 0.011013 4.88082 -3.86791 1.00425 -0.0326693 1.79028 2.40212 -1.44615
1.34 -0.960489 -2.88147 -1.59828 -0.707302 -1.18637 -0.960489 -0.00888117 4.94304 -3.88147 0.994707 -0.0311079 1.79028 2.37274 -1.41225
1.36 -0.964621 -2.89386 -1.59828 -0.707302 -1.17121 -0.964621 -0.0285699 5.00202 -3.89386 0.984436 -0.0294912 1.79028 2.34242 -1.3778
1.38 -0.968365 -2.9051 -1.59828 -0.707302 -1.15559 -0.968365 -0.0480389 5.05766 -3.9051 0.973452 -0.0278206 1.79028 2.31117 -1.34281
1.4 -0.971721 -2.91516 -1.59828 -0.707302 -1.13951 -0.971721 -0.0672743 5.10986 -3.91516 0.961768 -0.0260976 1.79028 2.27901 -1.30729
1.42 -0.974687 -2.92406 -1.59828 -0.707302 -1.12298 -0.974687 -0.0862623 5.1585 -3.92406 0.9494 -0.0243239 1.79028 2.24596 -1.27127
1.44 -0.977262 -2.93179 -1.59828 -0.707302 -1.10601 -0.977262 -0.10499 5.20351 -3.93179 0.936363 -0.0225009 1.79028 2.21202 -1.23476
1.46 -0.979445 -2.93833 -1.59828 -0.707302 -1.0886 -0.979445 -0.123443 5.24477 -3.93833 0.922671 -0.0206305 1.79028 2.17721 -1.19776
1.48 -0.981236 -2.94371 -1.59828 -0.707302 -1.07077 -0.981236 -0.14161 5.2822 -3.94371 0.908342 -0.0187143 1.79028 2.14154 -1.1603
1.5 -0.982633 -2.9479 -1.59828 -0.707302 -1.05251 -0.982633 -0.159478 5.3157 -3.9479 0.893391 -0.0167541 1.79028 2.10503 -1.12239
1.52 -0.983637 -2.95091 -1.59828 -0.707302 -1.03385 -0.983637 -0.177034 5.34521 -3.95091 0.877837 -0.0147518 1.79028 2.06769 -1.08405
1.54 -0.984248 -2.95274 -1.59828 -0.707302 -1.01477 -0.984248 -0.194268 5.37063 -3.95274 0.861696 -0.0127092 1.79028 2.02954 -1.04529
1.56 -0.984465 -2.95339 -1.59828 -0.707302 -0.995298 -0.984465 -0.211168 5.39188 -3.95339 0.844987 -0.0106283 1.79028 1.9906 -1.00613
1.58 -0.984287 -2.95286 -1.59828 -0.707302 -0.975435 -0.984287 -0.227723 5.40891 -3.95286 0.827729 -0.00851103 1.79028 1.95087 -0.966583
1.6 -0.983717 -2.95115 -1.59828 -0.707302 -0.955191 -0.983717 -0.243921 5.42162 -3.95115 0.809941 -0.00635942 1.79028 1.91038 -0.926664
1.62 -0.982753 -2.94826 -1.59828 -0.707302 -0.934572 -0.982753 -0.259754 5.42997 -3.94826 0.791642 -0.00417552 1.79028 1.86914 -0.886391
1.64 -0.981397 -2.94419 -1.59828 -0.707302 -0.913588 -0.981397 -0.275211 5.4339 -3.94419 0.772854 -0.0019614 1.79028 1.82718 -0.845778
