t 1 2 3 4 5 jL0400 6 7 8 jE0201 jH0801 jyH0801 jVX jV0600 
0.38 0 2.23275 -7.43655e-016 0.788115 2.23275 1.45516 1 0 -0.739617 -2.23275 0 2.23275 -0.739617 -0.715546 
0.39 0 2.23183 -7.43349e-016 0.781201 2.23183 1.46298 1 0 -0.743139 -2.23183 0 2.23183 -0.743139 -0.719836 
0.4 0 2.23092 -7.43046e-016 0.774242 2.23092 1.47072 1 0 -0.74661 -2.23092 0 2.23092 -0.74661 -0.724108 
0.41 0 2.23002 -7.42744e-016 0.767239 2.23002 1.47839 1 0 -0.750039 -2.23002 0 2.23002 -0.750039 -0.728351 
0.42 0 2.22912 -7.42445e-016 0.760193 2.22912 1.48599 1 0 -0.753434 -2.22912 0 2.22912 -0.753434 -0.732559 
0.43 0 2.22822 -7.42146e-016 0.753104 2.22822 1.49352 1 0 -0.7568 -2.22822 0 2.22822 -0.7568 -0.736723 
0.44 0 2.22732 -7.41847e-016 0.745973 2.22732 1.50098 1 0 -0.760145 -2.22732 0 2.22732 -0.760145 -0.740839 
0.45 0 2.22642 -7.41548e-016 0.738803 2.22642 1.50837 1 0 -0.763471 -2.22642 0 2.22642 -0.763471 -0.7449 
0.46 0 2.22552 -7.41249e-016 0.731592 2.22552 1.51569 1 0 -0.766785 -2.22552 0 2.22552 -0.766785 -0.748903 
0.47 0 2.22462 -7.40948e-016 0.724343 2.22462 1.52293 1 0 -0.770088 -2.22462 0 2.22462 -0.770088 -0.752843 
0.48 0 2.22372 -7.40647e-016 0.717056 2.22372 1.5301 1 0 -0.773384 -2.22372 0 2.22372 -0.773384 -0.756717 
0.49 0 2.22281 -7.40345e-016 0.709732 2.22281 1.5372 1 0 -0.776675 -2.22281 0 2.22281 -0.776675 -0.760523 
0.5 0 2.2219 -7.40041e-016 0.702373 2.2219 1.54422 1 0 -0.779964 -2.2219 0 2.2219 -0.779964 -0.764258 
