t 1 2 3 4 5 jL0400 6 7 8 jE0201 jH0801 jyH0801 jVX jV0600 
1.93 0 1.98398 -6.60797e-016 -0.338853 1.98398 1.75697 1 0 -1.146 -1.98398 0 1.98398 -1.146 -0.610968 
1.94 0 1.98105 -6.59824e-016 -0.344021 1.98105 1.75353 1 0 -1.14613 -1.98105 0 1.98105 -1.14613 -0.6074 
1.95 0 1.9781 -6.58838e-016 -0.349142 1.9781 1.75004 1 0 -1.14619 -1.9781 0 1.9781 -1.14619 -0.60385 
1.96 0 1.9751 -6.57841e-016 -0.354217 1.9751 1.7465 1 0 -1.14618 -1.9751 0 1.9751 -1.14618 -0.600322 
1.97 0 1.97207 -6.56831e-016 -0.359246 1.97207 1.74291 1 0 -1.14609 -1.97207 0 1.97207 -1.14609 -0.596816 
1.98 0 1.969 -6.55809e-016 -0.364227 1.969 1.73926 1 0 -1.14593 -1.969 0 1.969 -1.14593 -0.593336 
1.99 0 1.96589 -6.54774e-016 -0.369163 1.96589 1.73557 1 0 -1.14569 -1.96589 0 1.96589 -1.14569 -0.589883 
2 0 1.96274 -6.53725e-016 -0.374051 1.96274 1.73183 1 0 -1.14537 -1.96274 0 1.96274 -1.14537 -0.586459 
2.01 0 1.95955 -6.52663e-016 -0.378893 1.95955 1.72804 1 0 -1.14498 -1.95955 0 1.95955 -1.14498 -0.583066 
2.02 0 1.95632 -6.51586e-016 -0.383688 1.95632 1.72421 1 0 -1.1445 -1.95632 0 1.95632 -1.1445 -0.579707 
2.03 0 1.95305 -6.50495e-016 -0.388437 1.95305 1.72032 1 0 -1.14394 -1.95305 0 1.95305 -1.14394 -0.576385 
2.04 0 1.94973 -6.4939e-016 -0.393139 1.94973 1.71639 1 0 -1.14329 -1.94973 0 1.94973 -1.14329 -0.573101 
2.05 0 1.94636 -6.48269e-016 -0.397794 1.94636 1.71241 1 0 -1.14255 -1.94636 0 1.94636 -1.14255 -0.569857 
2.06 0 1.94295 -6.47132e-016 -0.402402 1.94295 1.70839 1 0 -1.14173 -1.94295 0 1.94295 -1.14173 -0.566658 
2.07 0 1.93949 -6.45979e-016 -0.406964 1.93949 1.70432 1 0 -1.14081 -1.93949 0 1.93949 -1.14081 -0.563504 
2.08 0 1.93598 -6.4481e-016 -0.41148 1.93598 1.7002 1 0 -1.1398 -1.93598 0 1.93598 -1.1398 -0.560399 
2.09 0 1.93241 -6.43623e-016 -0.415949 1.93241 1.69604 1 0 -1.1387 -1.93241 0 1.93241 -1.1387 -0.557346 
2.1 0 1.9288 -6.42419e-016 -0.420372 1.9288 1.69184 1 0 -1.13749 -1.9288 0 1.9288 -1.13749 -0.554346 
2.11 0 1.92513 -6.41197e-016 -0.424748 1.92513 1.68759 1 0 -1.13619 -1.92513 0 1.92513 -1.13619 -0.551404 
2.12 0 1.9214 -6.39956e-016 -0.429079 1.9214 1.6833 1 0 -1.13478 -1.9214 0 1.9214 -1.13478 -0.548522 
2.13 0 1.91762 -6.38697e-016 -0.433363 1.91762 1.67897 1 0 -1.13326 -1.91762 0 1.91762 -1.13326 -0.545703 
2.14 0 1.91378 -6.37417e-016 -0.437602 1.91378 1.67459 1 5.55112e-017 -1.13164 -1.91378 0 1.91378 -1.13164 -0.542951 
2.15 0 1.90988 -6.36117e-016 -0.441795 1.90988 1.67017 1 0 -1.12991 -1.90988 0 1.90988 -1.12991 -0.540267 
2.16 0 1.90591 -6.34796e-016 -0.445942 1.90591 1.66571 1 -5.55112e-017 -1.12806 -1.90591 0 1.90591 -1.12806 -0.537656 
2.17 0 1.90188 -6.33454e-016 -0.450044 1.90188 1.66121 1 0 -1.12609 -1.90188 0 1.90188 -1.12609 -0.535122 
2.18 0 1.89779 -6.3209e-016 -0.454101 1.89779 1.65667 1 0 -1.12401 -1.89779 0 1.89779 -1.12401 -0.532667 
2.19 0 1.89362 -6.30702e-016 -0.458112 1.89362 1.65209 1 0 -1.1218 -1.89362 0 1.89362 -1.1218 -0.530296 
2.2 0 1.88938 -6.29291e-016 -0.462079 1.88938 1.64747 1 0 -1.11946 -1.88938 0 1.88938 -1.11946 -0.528011 
2.21 0 1.88508 -6.27856e-016 -0.466002 1.88508 1.64281 1 0 -1.11699 -1.88508 0 1.88508 -1.11699 -0.525816 
2.22 0 1.88069 -6.26396e-016 -0.46988 1.88069 1.63811 1 0 -1.1144 -1.88069 0 1.88069 -1.1144 -0.523716 
2.23 0 1.87623 -6.2491e-016 -0.473714 1.87623 1.63338 1 0 -1.11166 -1.87623 0 1.87623 -1.11166 -0.521714 
2.24 0 1.87169 -6.23397e-016 -0.477504 1.87169 1.6286 1 0 -1.10879 -1.87169 0 1.87169 -1.10879 -0.519814 
2.25 0 1.86706 -6.21857e-016 -0.481251 1.86706 1.62379 1 0 -1.10577 -1.86706 0 1.86706 -1.10577 -0.51802 
2.26 0 1.86236 -6.20289e-016 -0.484955 1.86236 1.61894 1 0 -1.1026 -1.86236 0 1.86236 -1.1026 -0.516335 
2.27 0 1.85756 -6.18692e-016 -0.488615 1.85756 1.61405 1 0 -1.09929 -1.85756 0 1.85756 -1.09929 -0.514766 
2.28 0 1.85267 -6.17064e-016 -0.492234 1.85267 1.60913 1 0 -1.09582 -1.85267 0 1.85267 -1.09582 -0.513314 
2.29 0 1.84769 -6.15406e-016 -0.49581 1.84769 1.60417 1 5.55112e-017 -1.09219 -1.84769 0 1.84769 -1.09219 -0.511985 
2.3 0 1.84262 -6.13715e-016 -0.499345 1.84262 1.59918 1 0 -1.08839 -1.84262 0 1.84262 -1.08839 -0.510784 
2.31 0 1.83744 -6.11992e-016 -0.502838 1.83744 1.59415 1 0 -1.08444 -1.83744 0 1.83744 -1.08444 -0.509713 
2.32 0 1.83217 -6.10235e-016 -0.50629 1.83217 1.58909 1 0 -1.08031 -1.83217 0 1.83217 -1.08031 -0.508778 
2.33 0 1.82679 -6.08443e-016 -0.509702 1.82679 1.58399 1 0 -1.07601 -1.82679 0 1.82679 -1.07601 -0.507984 
2.34 0 1.8213 -6.06614e-016 -0.513074 1.8213 1.57886 1 0 -1.07153 -1.8213 0 1.8213 -1.07153 -0.507333 
2.35 0 1.8157 -6.04749e-016 -0.516406 1.8157 1.57369 1 0 -1.06686 -1.8157 0 1.8157 -1.06686 -0.506831 
2.36 0 1.80998 -6.02845e-016 -0.519699 1.80998 1.5685 1 0 -1.06202 -1.80998 0 1.80998 -1.06202 -0.506482 
2.37 0 1.80415 -6.00902e-016 -0.522953 1.80415 1.56327 1 0 -1.05698 -1.80415 0 1.80415 -1.05698 -0.506291 
2.38 0 1.79819 -5.98919e-016 -0.52617 1.79819 1.55801 1 -5.55112e-017 -1.05175 -1.79819 0 1.79819 -1.05175 -0.50626 
2.39 0 1.79211 -5.96894e-016 -0.529349 1.79211 1.55271 1 0 -1.04632 -1.79211 0 1.79211 -1.04632 -0.506395 
2.4 0 1.7859 -5.94825e-016 -0.532491 1.7859 1.54739 1 0 -1.04069 -1.7859 0 1.7859 -1.04069 -0.506699 
2.41 0 1.77956 -5.92713e-016 -0.535596 1.77956 1.54203 1 0 -1.03486 -1.77956 0 1.77956 -1.03486 -0.507176 
2.42 0 1.77308 -5.90555e-016 -0.538666 1.77308 1.53665 1 0 -1.02882 -1.77308 0 1.77308 -1.02882 -0.507829 
2.43 0 1.76646 -5.88351e-016 -0.541701 1.76646 1.53123 1 0 -1.02257 -1.76646 0 1.76646 -1.02257 -0.508662 
2.44 0 1.7597 -5.86098e-016 -0.544701 1.7597 1.52578 1 -5.55112e-017 -1.0161 -1.7597 0 1.7597 -1.0161 -0.509677 
2.45 0 1.75279 -5.83797e-016 -0.547668 1.75279 1.5203 1 0 -1.00943 -1.75279 0 1.75279 -1.00943 -0.510878 
2.46 0 1.74573 -5.81445e-016 -0.550601 1.74573 1.5148 1 0 -1.00253 -1.74573 0 1.74573 -1.00253 -0.512266 
2.47 0 1.73851 -5.79041e-016 -0.553502 1.73851 1.50926 1 0 -0.99542 -1.73851 0 1.73851 -0.99542 -0.513844 
2.48 0 1.73114 -5.76584e-016 -0.556372 1.73114 1.5037 1 0 -0.988088 -1.73114 0 1.73114 -0.988088 -0.515612 
2.49 0 1.7236 -5.74073e-016 -0.55921 1.7236 1.49811 1 0 -0.980536 -1.7236 0 1.7236 -0.980536 -0.517572 
2.5 0 1.71589 -5.71506e-016 -0.562019 1.71589 1.49249 1 5.55112e-017 -0.972763 -1.71589 0 1.71589 -0.972763 -0.519724 
2.51 0 1.70801 -5.68883e-016 -0.564798 1.70801 1.48684 1 -5.55112e-017 -0.964772 -1.70801 0 1.70801 -0.964772 -0.522068 
2.52 0 1.69996 -5.66201e-016 -0.567548 1.69996 1.48116 1 0 -0.956562 -1.69996 0 1.69996 -0.956562 -0.524603 
2.53 0 1.69174 -5.63461e-016 -0.570271 1.69174 1.47546 1 0 -0.948136 -1.69174 0 1.69174 -0.948136 -0.527326 
2.54 0 1.68333 -5.6066e-016 -0.572967 1.68333 1.46973 1 0 -0.939496 -1.68333 0 1.68333 -0.939496 -0.530236 
2.55 0 1.67473 -5.57799e-016 -0.575636 1.67473 1.46398 1 0 -0.930646 -1.67473 0 1.67473 -0.930646 -0.533329 
2.56 0 1.66596 -5.54875e-016 -0.578281 1.66596 1.45819 1 0 -0.921591 -1.66596 0 1.66596 -0.921591 -0.536602 
2.57 0 1.65699 -5.51887e-016 -0.580901 1.65699 1.45238 1 0 -0.912336 -1.65699 0 1.65699 -0.912336 -0.540047 
2.58 0 1.64783 -5.48836e-016 -0.583498 1.64783 1.44655 1 0 -0.902888 -1.64783 0 1.64783 -0.902888 -0.543661 
2.59 0 1.63847 -5.4572e-016 -0.586072 1.63847 1.44069 1 0 -0.893253 -1.63847 0 1.63847 -0.893253 -0.547435 
2.6 0 1.62892 -5.42539e-016 -0.588624 1.62892 1.4348 1 0 -0.883441 -1.62892 0 1.62892 -0.883441 -0.551361 
2.61 0 1.61917 -5.39292e-016 -0.591156 1.61917 1.42889 1 0 -0.87346 -1.61917 0 1.61917 -0.87346 -0.55543 
2.62 0 1.60922 -5.35978e-016 -0.593668 1.60922 1.42295 1 0 -0.863321 -1.60922 0 1.60922 -0.863321 -0.559632 
2.63 0 1.59907 -5.32597e-016 -0.596161 1.59907 1.41699 1 0 -0.853037 -1.59907 0 1.59907 -0.853037 -0.563955 
2.64 0 1.58872 -5.2915e-016 -0.598637 1.58872 1.41101 1 0 -0.842619 -1.58872 0 1.58872 -0.842619 -0.568387 
2.65 0 1.57817 -5.25636e-016 -0.601095 1.57817 1.40499 1 -5.55112e-017 -0.832081 -1.57817 0 1.57817 -0.832081 -0.572914 
2.66 0 1.56742 -5.22054e-016 -0.603537 1.56742 1.39896 1 0 -0.821438 -1.56742 0 1.56742 -0.821438 -0.577521 
2.67 0 1.55646 -5.18406e-016 -0.605963 1.55646 1.3929 1 0 -0.810706 -1.55646 0 1.55646 -0.810706 -0.582194 
2.68 0 1.54531 -5.14692e-016 -0.608376 1.54531 1.38682 1 0 -0.799901 -1.54531 0 1.54531 -0.799901 -0.586915 
2.69 0 1.53396 -5.10913e-016 -0.610775 1.53396 1.38071 1 0 -0.789041 -1.53396 0 1.53396 -0.789041 -0.591668 
2.7 0 1.52242 -5.07069e-016 -0.613161 1.52242 1.37458 1 0 -0.778143 -1.52242 0 1.52242 -0.778143 -0.596434 
2.71 0 1.51069 -5.0316e-016 -0.615536 1.51069 1.36842 1 0 -0.767226 -1.51069 0 1.51069 -0.767226 -0.601196 
2.72 0 1.49877 -4.9919e-016 -0.617899 1.49877 1.36224 1 0 -0.756309 -1.49877 0 1.49877 -0.756309 -0.605933 
2.73 0 1.48666 -4.95158e-016 -0.620253 1.48666 1.35604 1 0 -0.745411 -1.48666 0 1.48666 -0.745411 -0.610629 
2.74 0 1.47438 -4.91066e-016 -0.622597 1.47438 1.34981 1 5.55112e-017 -0.734553 -1.47438 0 1.47438 -0.734553 -0.61526 
2.75 0 1.46191 -4.86915e-016 -0.624932 1.46191 1.34356 1 0 -0.723753 -1.46191 0 1.46191 -0.723753 -0.619811 
2.76 0 1.44929 -4.82709e-016 -0.627259 1.44929 1.33729 1 0 -0.713031 -1.44929 0 1.44929 -0.713031 -0.624261 
2.77 0 1.43649 -4.78448e-016 -0.62958 1.43649 1.331 1 0 -0.702406 -1.43649 0 1.43649 -0.702406 -0.62859 
2.78 0 1.42354 -4.74135e-016 -0.631893 1.42354 1.32468 1 0 -0.691897 -1.42354 0 1.42354 -0.691897 -0.632781 
2.79 0 1.41045 -4.69773e-016 -0.634201 1.41045 1.31834 1 0 -0.68152 -1.41045 0 1.41045 -0.68152 -0.636815 
2.8 0 1.3972 -4.65363e-016 -0.636503 1.3972 1.31197 1 0 -0.671294 -1.3972 0 1.3972 -0.671294 -0.640676 
2.81 0 1.38383 -4.60908e-016 -0.6388 1.38383 1.30558 1 0 -0.661235 -1.38383 0 1.38383 -0.661235 -0.644347 
2.82 0 1.37033 -4.56411e-016 -0.641093 1.37033 1.29917 1 0 -0.651357 -1.37033 0 1.37033 -0.651357 -0.647815 
2.83 0 1.35671 -4.51875e-016 -0.643381 1.35671 1.29274 1 0 -0.641674 -1.35671 0 1.35671 -0.641674 -0.651064 
2.84 0 1.34298 -4.47302e-016 -0.645666 1.34298 1.28628 1 0 -0.632199 -1.34298 0 1.34298 -0.632199 -0.654082 
2.85 0 1.32915 -4.42696e-016 -0.647948 1.32915 1.2798 1 0 -0.622942 -1.32915 0 1.32915 -0.622942 -0.656859 
2.86 0 1.31523 -4.38059e-016 -0.650226 1.31523 1.2733 1 0 -0.613914 -1.31523 0 1.31523 -0.613914 -0.659385 
2.87 0 1.30123 -4.33395e-016 -0.652502 1.30123 1.26677 1 0 -0.605121 -1.30123 0 1.30123 -0.605121 -0.661653 
2.88 0 1.28715 -4.28707e-016 -0.654775 1.28715 1.26023 1 0 -0.596571 -1.28715 0 1.28715 -0.596571 -0.663655 
2.89 0 1.27301 -4.23997e-016 -0.657045 1.27301 1.25366 1 0 -0.588268 -1.27301 0 1.27301 -0.588268 -0.665388 
2.9 0 1.25881 -4.19269e-016 -0.659313 1.25881 1.24706 1 0 -0.580216 -1.25881 0 1.25881 -0.580216 -0.666847 
2.91 0 1.24457 -4.14526e-016 -0.661578 1.24457 1.24045 1 0 -0.572415 -1.24457 0 1.24457 -0.572415 -0.668032 
2.92 0 1.23029 -4.0977e-016 -0.663841 1.23029 1.23381 1 0 -0.564866 -1.23029 0 1.23029 -0.564866 -0.668943 
2.93 0 1.21599 -4.05004e-016 -0.666101 1.21599 1.22715 1 0 -0.557568 -1.21599 0 1.21599 -0.557568 -0.66958 
2.94 0 1.20166 -4.00232e-016 -0.668359 1.20166 1.22046 1 0 -0.550517 -1.20166 0 1.20166 -0.550517 -0.669947 
2.95 0 1.18732 -3.95456e-016 -0.670614 1.18732 1.21376 1 0 -0.543711 -1.18732 0 1.18732 -0.543711 -0.670047 
2.96 0 1.17297 -3.90678e-016 -0.672866 1.17297 1.20703 1 0 -0.537142 -1.17297 0 1.17297 -0.537142 -0.669887 
2.97 0 1.15863 -3.85901e-016 -0.675115 1.15863 1.20028 1 0 -0.530807 -1.15863 0 1.15863 -0.530807 -0.669471 
2.98 0 1.1443 -3.81128e-016 -0.67736 1.1443 1.1935 1 0 -0.524696 -1.1443 0 1.1443 -0.524696 -0.668809 
2.99 0 1.12998 -3.7636e-016 -0.679602 1.12998 1.18671 1 0 -0.518802 -1.12998 0 1.12998 -0.518802 -0.667907 
3 0 1.11569 -3.71601e-016 -0.68184 1.11569 1.17989 1 0 -0.513116 -1.11569 0 1.11569 -0.513116 -0.666774 
3.01 0 1.10143 -3.66851e-016 -0.684073 1.10143 1.17305 1 0 -0.507628 -1.10143 0 1.10143 -0.507628 -0.665421 
3.02 0 1.08721 -3.62112e-016 -0.686301 1.08721 1.16619 1 0 -0.502328 -1.08721 0 1.08721 -0.502328 -0.663858 
3.03 0 1.07302 -3.57387e-016 -0.688524 1.07302 1.1593 1 0 -0.497207 -1.07302 0 1.07302 -0.497207 -0.662094 
3.04 0 1.05888 -3.52677e-016 -0.690742 1.05888 1.15239 1 0 -0.492253 -1.05888 0 1.05888 -0.492253 -0.660141 
3.05 0 1.04478 -3.47983e-016 -0.692953 1.04478 1.14546 1 0 -0.487454 -1.04478 0 1.04478 -0.487454 -0.65801 
3.06 0 1.03074 -3.43307e-016 -0.695158 1.03074 1.13851 1 0 -0.482801 -1.03074 0 1.03074 -0.482801 -0.655712 
3.07 0 1.01676 -3.3865e-016 -0.697355 1.01676 1.13154 1 0 -0.478281 -1.01676 0 1.01676 -0.478281 -0.653258 
3.08 0 1.00284 -3.34012e-016 -0.699546 1.00284 1.12454 1 0 -0.473884 -1.00284 0 1.00284 -0.473884 -0.650659 
3.09 0 0.988976 -3.29395e-016 -0.701728 0.988976 1.11753 1 0 -0.469599 -0.988976 0 0.988976 -0.469599 -0.647927 
3.1 0 0.975179 -3.248e-016 -0.703901 0.975179 1.11049 1 0 -0.465414 -0.975179 0 0.975179 -0.465414 -0.645073 
3.11 0 0.961448 -3.20226e-016 -0.706066 0.961448 1.10343 1 0 -0.461319 -0.961448 0 0.961448 -0.461319 -0.642107 
3.12 0 0.947785 -3.15676e-016 -0.708221 0.947785 1.09634 1 0 -0.457304 -0.947785 0 0.947785 -0.457304 -0.639041 
3.13 0 0.934191 -3.11148e-016 -0.710366 0.934191 1.08924 1 0 -0.453357 -0.934191 0 0.934191 -0.453357 -0.635883 
3.14 0 0.920667 -3.06644e-016 -0.7125 0.920667 1.08212 1 0 -0.44947 -0.920667 0 0.920667 -0.44947 -0.632645 
3.15 0 0.907214 -3.02163e-016 -0.714623 0.907214 1.07497 1 0 -0.445633 -0.907214 0 0.907214 -0.445633 -0.629337 
3.16 0 0.893832 -2.97706e-016 -0.716734 0.893832 1.0678 1 0 -0.441836 -0.893832 0 0.893832 -0.441836 -0.625966 
3.17 0 0.880521 -2.93272e-016 -0.718833 0.880521 1.06061 1 0 -0.438071 -0.880521 0 0.880521 -0.438071 -0.622543 
3.18 0 0.86728 -2.88862e-016 -0.720919 0.86728 1.0534 1 0 -0.434328 -0.86728 0 0.86728 -0.434328 -0.619076 
3.19 0 0.85411 -2.84476e-016 -0.722992 0.85411 1.04617 1 0 -0.430601 -0.85411 0 0.85411 -0.430601 -0.615574 
3.2 0 0.841009 -2.80112e-016 -0.725051 0.841009 1.03892 1 0 -0.426881 -0.841009 0 0.841009 -0.426881 -0.612044 
3.21 0 0.827976 -2.75772e-016 -0.727096 0.827976 1.03165 1 0 -0.42316 -0.827976 0 0.827976 -0.42316 -0.608493 
3.22 0 0.815011 -2.71453e-016 -0.729126 0.815011 1.02436 1 0 -0.419432 -0.815011 0 0.815011 -0.419432 -0.60493 
3.23 0 0.802112 -2.67157e-016 -0.731141 0.802112 1.01705 1 0 -0.41569 -0.802112 0 0.802112 -0.41569 -0.60136 
3.24 0 0.789278 -2.62882e-016 -0.73314 0.789278 1.00972 1 0 -0.411928 -0.789278 0 0.789278 -0.411928 -0.597791 
3.25 0 0.776506 -2.58629e-016 -0.735123 0.776506 1.00237 1 0 -0.408139 -0.776506 0 0.776506 -0.408139 -0.594229 
3.26 0 0.763796 -2.54395e-016 -0.73709 0.763796 0.994997 1 0 -0.404318 -0.763796 0 0.763796 -0.404318 -0.590679 
3.27 0 0.751144 -2.50181e-016 -0.739039 0.751144 0.987607 1 0 -0.400459 -0.751144 0 0.751144 -0.400459 -0.587148 
3.28 0 0.73855 -2.45987e-016 -0.740971 0.73855 0.980197 1 0 -0.396557 -0.73855 0 0.73855 -0.396557 -0.583639 
3.29 0 0.726011 -2.4181e-016 -0.742886 0.726011 0.972768 1 0 -0.392608 -0.726011 0 0.726011 -0.392608 -0.58016 
3.3 0 0.713524 -2.37651e-016 -0.744782 0.713524 0.96532 1 0 -0.388607 -0.713524 0 0.713524 -0.388607 -0.576713 
3.31 0 0.701088 -2.33509e-016 -0.74666 0.701088 0.957854 1 0 -0.384549 -0.701088 0 0.701088 -0.384549 -0.573305 
3.32 0 0.688699 -2.29383e-016 -0.748519 0.688699 0.950368 1 0 -0.38043 -0.688699 0 0.688699 -0.38043 -0.569938 
3.33 0 0.676356 -2.25272e-016 -0.750358 0.676356 0.942865 1 0 -0.376247 -0.676356 0 0.676356 -0.376247 -0.566618 
3.34 0 0.664055 -2.21175e-016 -0.752179 0.664055 0.935343 1 0 -0.371996 -0.664055 0 0.664055 -0.371996 -0.563347 
3.35 0 0.651794 -2.17091e-016 -0.753979 0.651794 0.927803 1 0 -0.367672 -0.651794 0 0.651794 -0.367672 -0.560131 
3.36 0 0.639571 -2.1302e-016 -0.75576 0.639571 0.920246 1 0 -0.363274 -0.639571 0 0.639571 -0.363274 -0.556972 
3.37 0 0.627382 -2.0896e-016 -0.75752 0.627382 0.91267 1 0 -0.358797 -0.627382 0 0.627382 -0.358797 -0.553873 
3.38 0 0.615225 -2.04911e-016 -0.75926 0.615225 0.905078 1 0 -0.354239 -0.615225 0 0.615225 -0.354239 -0.550838 
3.39 0 0.603097 -2.00872e-016 -0.760979 0.603097 0.897468 1 0 -0.349597 -0.603097 0 0.603097 -0.349597 -0.547871 
3.4 0 0.590995 -1.96841e-016 -0.762677 0.590995 0.889841 1 0 -0.344868 -0.590995 0 0.590995 -0.344868 -0.544973 
3.41 0 0.578916 -1.92818e-016 -0.764354 0.578916 0.882198 1 0 -0.34005 -0.578916 0 0.578916 -0.34005 -0.542148 
3.42 0 0.566856 -1.88801e-016 -0.766009 0.566856 0.874538 1 0 -0.335139 -0.566856 0 0.566856 -0.335139 -0.539399 
3.43 0 0.554814 -1.8479e-016 -0.767643 0.554814 0.866861 1 0 -0.330134 -0.554814 0 0.554814 -0.330134 -0.536727 
3.44 0 0.542787 -1.80784e-016 -0.769256 0.542787 0.859169 1 0 -0.325033 -0.542787 0 0.542787 -0.325033 -0.534136 
3.45 0 0.53077 -1.76782e-016 -0.770847 0.53077 0.85146 1 0 -0.319833 -0.53077 0 0.53077 -0.319833 -0.531627 
3.46 0 0.518761 -1.72782e-016 -0.772417 0.518761 0.843736 1 0 -0.314532 -0.518761 0 0.518761 -0.314532 -0.529204 
3.47 0 0.506758 -1.68784e-016 -0.773964 0.506758 0.835996 1 0 -0.309128 -0.506758 0 0.506758 -0.309128 -0.526868 
3.48 0 0.494757 -1.64787e-016 -0.77549 0.494757 0.828241 1 0 -0.303619 -0.494757 0 0.494757 -0.303619 -0.524622 
3.49 0 0.482754 -1.60789e-016 -0.776994 0.482754 0.820472 1 0 -0.298004 -0.482754 0 0.482754 -0.298004 -0.522467 
3.5 0 0.470748 -1.5679e-016 -0.778476 0.470748 0.812687 1 0 -0.292281 -0.470748 0 0.470748 -0.292281 -0.520406 
3.51 0 0.458734 -1.52789e-016 -0.779936 0.458734 0.804887 1 0 -0.286448 -0.458734 0 0.458734 -0.286448 -0.51844 
3.52 0 0.44671 -1.48784e-016 -0.781375 0.44671 0.797074 1 0 -0.280503 -0.44671 0 0.44671 -0.280503 -0.516571 
3.53 0 0.434674 -1.44775e-016 -0.782791 0.434674 0.789246 1 0 -0.274445 -0.434674 0 0.434674 -0.274445 -0.514801 
3.54 0 0.42262 -1.40761e-016 -0.784186 0.42262 0.781404 1 0 -0.268272 -0.42262 0 0.42262 -0.268272 -0.513132 
3.55 0 0.410548 -1.3674e-016 -0.785559 0.410548 0.773548 1 0 -0.261984 -0.410548 0 0.410548 -0.261984 -0.511564 
3.56 0 0.398453 -1.32712e-016 -0.786911 0.398453 0.765679 1 0 -0.255579 -0.398453 0 0.398453 -0.255579 -0.5101 
3.57 0 0.386334 -1.28675e-016 -0.788241 0.386334 0.757797 1 0 -0.249055 -0.386334 0 0.386334 -0.249055 -0.508741 
3.58 0 0.374185 -1.24629e-016 -0.78955 0.374185 0.749901 1 0 -0.242413 -0.374185 0 0.374185 -0.242413 -0.507489 
3.59 0 0.362006 -1.20572e-016 -0.790838 0.362006 0.741993 1 0 -0.235649 -0.362006 0 0.362006 -0.235649 -0.506344 
3.6 0 0.349792 -1.16504e-016 -0.792105 0.349792 0.734072 1 0 -0.228765 -0.349792 0 0.349792 -0.228765 -0.505307 
3.61 0 0.337541 -1.12424e-016 -0.793351 0.337541 0.726138 1 0 -0.221759 -0.337541 0 0.337541 -0.221759 -0.50438 
3.62 0 0.32525 -1.0833e-016 -0.794576 0.32525 0.718193 1 0 -0.21463 -0.32525 0 0.32525 -0.21463 -0.503563 
3.63 0 0.312916 -1.04222e-016 -0.795781 0.312916 0.710235 1 0 -0.207377 -0.312916 0 0.312916 -0.207377 -0.502857 
3.64 0 0.300536 -1.00099e-016 -0.796966 0.300536 0.702265 1 0 -0.200002 -0.300536 0 0.300536 -0.200002 -0.502263 
3.65 0 0.288108 -9.59591e-017 -0.798131 0.288108 0.694284 1 0 -0.192502 -0.288108 0 0.288108 -0.192502 -0.501782 
3.66 0 0.275628 -9.18024e-017 -0.799276 0.275628 0.686291 1 0 -0.184878 -0.275628 0 0.275628 -0.184878 -0.501413 
3.67 0 0.263093 -8.76277e-017 -0.800402 0.263093 0.678287 1 0 -0.177131 -0.263093 0 0.263093 -0.177131 -0.501156 
3.68 0 0.250502 -8.34341e-017 -0.801509 0.250502 0.670272 1 0 -0.16926 -0.250502 0 0.250502 -0.16926 -0.501012 
3.69 0 0.237852 -7.92206e-017 -0.802597 0.237852 0.662246 1 0 -0.161265 -0.237852 0 0.237852 -0.161265 -0.500981 
3.7 0 0.225139 -7.49865e-017 -0.803667 0.225139 0.654209 1 0 -0.153148 -0.225139 0 0.225139 -0.153148 -0.501062 
3.71 0 0.212362 -7.07308e-017 -0.804719 0.212362 0.646162 1 0 -0.144909 -0.212362 0 0.212362 -0.144909 -0.501253 
3.72 0 0.199518 -6.64529e-017 -0.805753 0.199518 0.638105 1 0 -0.136549 -0.199518 0 0.199518 -0.136549 -0.501556 
3.73 0 0.186604 -6.21518e-017 -0.806769 0.186604 0.630037 1 0 -0.128069 -0.186604 0 0.186604 -0.128069 -0.501968 
3.74 0 0.173619 -5.78268e-017 -0.807768 0.173619 0.621959 1 0 -0.119471 -0.173619 0 0.173619 -0.119471 -0.502488 
3.75 0 0.16056 -5.34772e-017 -0.808751 0.16056 0.613872 1 0 -0.110758 -0.16056 0 0.16056 -0.110758 -0.503114 
3.76 0 0.147425 -4.91024e-017 -0.809718 0.147425 0.605775 1 0 -0.10193 -0.147425 0 0.147425 -0.10193 -0.503845 
3.77 0 0.134212 -4.47015e-017 -0.810669 0.134212 0.597668 1 0 -0.09299 -0.134212 0 0.134212 -0.09299 -0.504678 
3.78 0 0.120919 -4.02741e-017 -0.811604 0.120919 0.589552 1 0 -0.0839412 -0.120919 0 0.120919 -0.0839412 -0.505611 
3.79 0 0.107544 -3.58194e-017 -0.812524 0.107544 0.581427 1 0 -0.0747864 -0.107544 0 0.107544 -0.0747864 -0.50664 
3.8 0 0.0940865 -3.13371e-017 -0.81343 0.0940865 0.573292 1 0 -0.0655289 -0.0940865 0 0.0940865 -0.0655289 -0.507763 
3.81 0 0.0805439 -2.68265e-017 -0.814321 0.0805439 0.565149 1 0 -0.0561725 -0.0805439 0 0.0805439 -0.0561725 -0.508977 
3.82 0 0.0669152 -2.22873e-017 -0.815199 0.0669152 0.556997 1 0 -0.0467212 -0.0669152 0 0.0669152 -0.0467212 -0.510276 
3.83 0 0.0531993 -1.77189e-017 -0.816064 0.0531993 0.548836 1 0 -0.0371794 -0.0531993 0 0.0531993 -0.0371794 -0.511657 
3.84 0 0.039395 -1.31212e-017 -0.816916 0.039395 0.540667 1 0 -0.0275521 -0.039395 0 0.039395 -0.0275521 -0.513115 
