t 1 2 3 jL1 jL2 jV0300 
1.357e-05 -5499.57 13451.5 10000 90.356 44.3312 -90.356
1.358e-05 -5586.44 12732.4 10000 84.0132 45.4332 -84.0132
1.359e-05 -5666.94 11996.1 10000 77.6182 46.4921 -77.6182
1.36e-05 -5741.02 11243.3 10000 71.1784 47.5063 -71.1784
1.361e-05 -5808.64 10474.6 10000 64.7012 48.4747 -64.7012
1.362e-05 -5869.77 9690.81 10000 58.1939 49.3959 -58.1939
1.363e-05 -5924.37 8892.73 10000 51.6641 50.2686 -51.6641
1.364e-05 -5972.44 8081.12 10000 45.1191 51.0916 -45.1191
1.365e-05 -6013.95 7256.8 10000 38.5663 51.8638 -38.5663
1.366e-05 -6048.91 6420.57 10000 32.013 52.5841 -32.013
1.367e-05 -6077.32 5573.28 10000 25.4666 53.2514 -25.4666
1.368e-05 -6099.2 4715.79 10000 18.9342 53.8648 -18.9342
1.369e-05 -6114.55 3848.96 10000 12.4232 54.4233 -12.4232
1.37e-05 -6123.4 2973.69 10000 5.94057 54.9261 -5.94057
1.371e-05 -6125.79 2090.87 10000 -0.506521 55.3723 0.506521
1.372e-05 -6121.76 1201.41 10000 -6.91112 55.7612 6.91112
1.373e-05 -6111.35 306.247 10000 -13.2663 56.092 13.2663
1.374e-05 -6094.62 -593.699 10000 -19.5653 56.3642 19.5653
1.375e-05 -6071.61 -1497.48 10000 -25.8014 56.5772 25.8014
1.376e-05 -6042.42 -2404.14 10000 -31.968 56.7305 31.968
1.377e-05 -6007.09 -3312.73 10000 -38.0587 56.8235 38.0587
1.378e-05 -5965.72 -4222.27 10000 -44.067 56.8561 44.067
1.379e-05 -5918.39 -5131.8 10000 -49.9868 56.8278 49.9868
1.38e-05 -5865.19 -6040.34 10000 -55.8119 56.7385 55.8119
1.381e-05 -5806.22 -6946.91 10000 -61.5365 56.5878 61.5365
1.382e-05 -5741.59 -7850.53 10000 -67.1547 56.3759 67.1547
1.383e-05 -5671.39 -8750.22 10000 -72.661 56.1025 72.661
1.384e-05 -5595.76 -9645 10000 -78.0498 55.7677 78.0498
1.385e-05 -5514.8 -10533.9 10000 -83.3158 55.3717 83.3158
1.386e-05 -5428.65 -11415.9 10000 -88.454 54.9147 88.454
1.387e-05 -5337.43 -12290 10000 -93.4593 54.3967 93.4593
1.388e-05 -5241.28 -13155.4 10000 -98.3269 53.8182 98.3269
1.389e-05 -5140.35 -14010.9 10000 -103.052 53.1796 103.052
1.39e-05 -5034.76 -14855.7 10000 -107.631 52.4812 107.631
1.391e-05 -4924.68 -15688.8 10000 -112.06 51.7237 112.06
1.392e-05 -4810.26 -16509.3 10000 -116.333 50.9075 116.333
1.393e-05 -4691.65 -17316.2 10000 -120.448 50.0334 120.448
1.394e-05 -4569.02 -18108.6 10000 -124.4 49.102 124.4
1.395e-05 -4442.52 -18885.6 10000 -128.188 48.1142 128.188
1.396e-05 -4312.33 -19646.4 10000 -131.806 47.0707 131.806
1.397e-05 -4178.61 -20389.9 10000 -135.253 45.9725 135.253
1.398e-05 -4041.54 -21115.4 10000 -138.526 44.8207 138.526
1.399e-05 -3901.3 -21822 10000 -141.622 43.6161 141.622
1.4e-05 -3758.06 -22508.9 10000 -144.538 42.36 144.538
1.401e-05 -3612 -23175.2 10000 -147.274 41.0536 147.274
1.402e-05 -3463.31 -23820.2 10000 -149.827 39.6979 149.827
1.403e-05 -3312.16 -24443.1 10000 -152.194 38.2944 152.194
1.404e-05 -3158.75 -25043.1 10000 -154.377 36.8443 154.377
1.405e-05 -3003.27 -25619.5 10000 -156.371 35.3491 156.371
1.406e-05 -2845.89 -26171.6 10000 -158.178 33.8102 158.178
1.407e-05 -2686.8 -26698.7 10000 -159.796 32.2292 159.796
1.408e-05 -2526.2 -27200.1 10000 -161.225 30.6076 161.225
1.409e-05 -2364.28 -27675.3 10000 -162.465 28.947 162.465
1.41e-05 -2201.22 -28123.6 10000 -163.515 27.2491 163.515
1.411e-05 -2037.22 -28544.3 10000 -164.375 25.5155 164.375
1.412e-05 -1872.46 -28937.1 10000 -165.047 23.7481 165.047
1.413e-05 -1707.13 -29301.2 10000 -165.531 21.9487 165.531
1.414e-05 -1541.42 -29636.4 10000 -165.827 20.1191 165.827
1.415e-05 -1375.52 -29942 10000 -165.937 18.2611 165.937
1.416e-05 -1209.61 -30217.6 10000 -165.862 16.3767 165.862
1.417e-05 -1043.87 -30462.8 10000 -165.604 14.4679 165.604
1.418e-05 -878.496 -30677.4 10000 -165.163 12.5366 165.163
1.419e-05 -713.659 -30860.8 10000 -164.543 10.5848 164.543
1.42e-05 -549.539 -31012.8 10000 -163.746 8.61467 163.746
1.421e-05 -386.315 -31133.2 10000 -162.772 6.62819 162.772
1.422e-05 -224.158 -31221.7 10000 -161.626 4.62749 161.626
1.423e-05 -63.242 -31278 10000 -160.31 2.61469 160.31
1.424e-05 96.2658 -31302.1 10000 -158.826 0.591933 158.826
1.425e-05 254.199 -31293.7 10000 -157.178 -1.43862 157.178
1.426e-05 410.396 -31252.7 10000 -155.37 -3.47479 155.37
1.427e-05 564.697 -31179.2 10000 -153.403 -5.51438 153.403
1.428e-05 716.946 -31073 10000 -151.282 -7.5552 151.282
1.429e-05 866.991 -30934.2 10000 -149.011 -9.59505 149.011
1.43e-05 1014.68 -30762.7 10000 -146.594 -11.6317 146.594
1.431e-05 1159.88 -30558.7 10000 -144.034 -13.6629 144.034
1.432e-05 1302.44 -30322.3 10000 -141.336 -15.6865 141.336
1.433e-05 1442.23 -30053.6 10000 -138.504 -17.7003 138.504
1.434e-05 1579.12 -29752.8 10000 -135.542 -19.702 135.542
1.435e-05 1712.97 -29420 10000 -132.455 -21.6894 132.455
1.436e-05 1843.67 -29055.6 10000 -129.249 -23.6603 129.249
1.437e-05 1971.1 -28659.8 10000 -125.926 -25.6126 125.926
1.438e-05 2095.15 -28233 10000 -122.494 -27.5441 122.494
1.439e-05 2215.71 -27775.5 10000 -118.955 -29.4526 118.955
1.44e-05 2332.67 -27287.6 10000 -115.316 -31.336 115.316
1.441e-05 2445.94 -26769.9 10000 -111.582 -33.1922 111.582
1.442e-05 2555.43 -26222.7 10000 -107.758 -35.0191 107.758
1.443e-05 2661.04 -25646.5 10000 -103.849 -36.8146 103.849
1.444e-05 2762.7 -25042 10000 -99.8607 -38.5766 99.8607
1.445e-05 2860.33 -24409.5 10000 -95.7985 -40.3033 95.7985
1.446e-05 2953.87 -23749.7 10000 -91.6679 -41.9926 91.6679
1.447e-05 3043.23 -23063.3 10000 -87.4744 -43.6425 87.4744
1.448e-05 3128.37 -22350.8 10000 -83.2236 -45.2512 83.2236
1.449e-05 3209.23 -21612.9 10000 -78.9211 -46.8169 78.9211
1.45e-05 3285.77 -20850.4 10000 -74.5725 -48.3377 74.5725
1.451e-05 3357.93 -20064 10000 -70.1834 -49.8118 70.1834
1.452e-05 3425.68 -19254.4 10000 -65.7594 -51.2375 65.7594
1.453e-05 3488.99 -18422.4 10000 -61.3063 -52.6132 61.3063
1.454e-05 3547.84 -17568.9 10000 -56.8295 -53.9372 56.8295
1.455e-05 3602.2 -16694.6 10000 -52.3348 -55.2079 52.3348
1.456e-05 3652.06 -15800.5 10000 -47.8277 -56.4239 47.8277
1.457e-05 3697.4 -14887.5 10000 -43.3138 -57.5836 43.3138
1.458e-05 3738.23 -13956.3 10000 -38.7986 -58.6857 38.7986
1.459e-05 3774.55 -13008.1 10000 -34.2876 -59.7288 34.2876
1.46e-05 3806.36 -12043.7 10000 -29.7863 -60.7117 29.7863
1.461e-05 3833.68 -11064.1 10000 -25.2999 -61.6331 25.2999
1.462e-05 3856.52 -10070.4 10000 -20.8339 -62.4918 20.8339
1.463e-05 3874.91 -9063.43 10000 -16.3934 -63.2869 16.3934
1.464e-05 3888.87 -8044.33 10000 -11.9837 -64.0172 11.9837
1.465e-05 3898.45 -7014.12 10000 -7.6098 -64.6818 7.6098
1.466e-05 3903.67 -5973.86 10000 -3.27677 -65.2798 3.27677
1.467e-05 3904.59 -4924.62 10000 1.0105 -65.8104 -1.0105
1.468e-05 3901.24 -3867.49 10000 5.2472 -66.2729 -5.2472
1.469e-05 3893.69 -2803.57 10000 9.4286 -66.6666 -9.4286
1.47e-05 3881.99 -1733.96 10000 13.5501 -66.9909 -13.5501
1.471e-05 3866.2 -659.778 10000 17.6072 -67.2452 -17.6072
1.472e-05 3846.39 417.858 10000 21.5956 -67.4292 -21.5956
1.473e-05 3822.64 1497.82 10000 25.511 -67.5425 -25.511
1.474e-05 3795.01 2578.96 10000 29.3492 -67.5848 -29.3492
1.475e-05 3763.59 3660.16 10000 33.1063 -67.5558 -33.1063
1.476e-05 3728.46 4740.26 10000 36.7785 -67.4555 -36.7785
1.477e-05 3689.7 5818.13 10000 40.362 -67.2837 -40.362
1.478e-05 3647.41 6892.62 10000 43.8534 -67.0405 -43.8534
1.479e-05 3601.68 7962.6 10000 47.249 -66.726 -47.249
1.48e-05 3552.61 9026.91 10000 50.5458 -66.3403 -50.5458
1.481e-05 3500.3 10084.4 10000 53.7406 -65.8838 -53.7406
1.482e-05 3444.85 11134 10000 56.8305 -65.3567 -56.8305
1.483e-05 3386.37 12174.6 10000 59.8126 -64.7594 -59.8126
1.484e-05 3324.97 13204.9 10000 62.6844 -64.0925 -62.6844
1.485e-05 3260.76 14224 10000 65.4433 -63.3565 -65.4433
1.486e-05 3193.85 15230.8 10000 68.0872 -62.552 -68.0872
1.487e-05 3124.36 16224 10000 70.6139 -61.6798 -70.6139
1.488e-05 3052.41 17202.7 10000 73.0215 -60.7406 -73.0215
1.489e-05 2978.13 18165.8 10000 75.3081 -59.7353 -75.3081
1.49e-05 2901.62 19112.2 10000 77.4722 -58.6649 -77.4722
1.491e-05 2823.01 20041 10000 79.5124 -57.5303 -79.5124
1.492e-05 2742.44 20951 10000 81.4274 -56.3327 -81.4274
1.493e-05 2660.01 21841.3 10000 83.2162 -55.0732 -83.2162
1.494e-05 2575.87 22710.9 10000 84.8778 -53.753 -84.8778
1.495e-05 2490.14 23558.9 10000 86.4115 -52.3735 -86.4115
1.496e-05 2402.95 24384.3 10000 87.8169 -50.9359 -87.8169
1.497e-05 2314.42 25186.2 10000 89.0935 -49.4418 -89.0935
1.498e-05 2224.68 25963.7 10000 90.2412 -47.8925 -90.2412
1.499e-05 2133.87 26716 10000 91.2599 -46.2897 -91.2599
1.5e-05 2042.11 27442.1 10000 92.1498 -44.635 -92.1498
1.501e-05 1949.53 28141.3 10000 92.9112 -42.93 -92.9112
1.502e-05 1856.26 28812.8 10000 93.5447 -41.1765 -93.5447
1.503e-05 1762.43 29455.9 10000 94.0508 -39.3762 -94.0508
1.504e-05 1668.16 30069.7 10000 94.4305 -37.5311 -94.4305
1.505e-05 1573.58 30653.7 10000 94.6848 -35.643 -94.6848
1.506e-05 1478.81 31207 10000 94.8147 -33.7138 -94.8147
1.507e-05 1383.98 31729.2 10000 94.8216 -31.7456 -94.8216
1.508e-05 1289.21 32219.5 10000 94.7071 -29.7403 -94.7071
1.509e-05 1194.63 32677.5 10000 94.4726 -27.7001 -94.4726
1.51e-05 1100.34 33102.5 10000 94.12 -25.6271 -94.12
1.511e-05 1006.47 33494 10000 93.6513 -23.5234 -93.6513
1.512e-05 913.125 33851.7 10000 93.0685 -21.3913 -93.0685
1.513e-05 820.43 34175 10000 92.3737 -19.233 -92.3737
1.514e-05 728.489 34463.5 10000 91.5694 -17.0507 -91.5694
1.515e-05 637.412 34717 10000 90.658 -14.8467 -90.658
1.516e-05 547.305 34935 10000 89.6421 -12.6234 -89.6421
1.517e-05 458.269 35117.2 10000 88.5244 -10.3832 -88.5244
1.518e-05 370.406 35263.6 10000 87.3077 -8.12827 -87.3077
1.519e-05 283.812 35373.7 10000 85.9951 -5.86115 -85.9951
1.52e-05 198.583 35447.4 10000 84.5896 -3.58421 -84.5896
1.521e-05 114.808 35484.7 10000 83.0942 -1.29986 -83.0942
1.522e-05 32.577 35485.3 10000 81.5123 0.989453 -81.5123
1.523e-05 -48.0263 35449.3 10000 79.8473 3.2813 -79.8473
1.524e-05 -126.92 35376.7 10000 78.1026 5.57323 -78.1026
1.525e-05 -204.028 35267.3 10000 76.2816 7.8628 -76.2816
1.526e-05 -279.274 35121.4 10000 74.388 10.1475 -74.388
1.527e-05 -352.588 34939 10000 72.4255 12.425 -72.4255
1.528e-05 -423.903 34720.2 10000 70.3977 14.6928 -70.3977
1.529e-05 -493.157 34465.3 10000 68.3086 16.9484 -68.3086
1.53e-05 -560.289 34174.4 10000 66.1618 19.1895 -66.1618
1.531e-05 -625.245 33847.7 10000 63.9614 21.4135 -63.9614
1.532e-05 -687.973 33485.7 10000 61.7112 23.6182 -61.7112
1.533e-05 -748.425 33088.6 10000 59.4152 25.8011 -59.4152
1.534e-05 -806.558 32656.7 10000 57.0775 27.9598 -57.0775
1.535e-05 -862.332 32190.6 10000 54.702 30.0921 -54.702
1.536e-05 -915.711 31690.5 10000 52.2929 32.1956 -52.2929
1.537e-05 -966.665 31157.1 10000 49.8541 34.2681 -49.8541
1.538e-05 -1015.17 30590.8 10000 47.3897 36.3072 -47.3897
1.539e-05 -1061.19 29992.3 10000 44.9038 38.3108 -44.9038
1.54e-05 -1104.72 29361.9 10000 42.4004 40.2766 -42.4004
1.541e-05 -1145.73 28700.5 10000 39.8837 42.2026 -39.8837
1.542e-05 -1184.23 28008.6 10000 37.3576 44.0867 -37.3576
1.543e-05 -1220.2 27287 10000 34.8262 45.9267 -34.8262
1.544e-05 -1253.63 26536.3 10000 32.2934 47.7206 -32.2934
1.545e-05 -1284.53 25757.3 10000 29.7632 49.4666 -29.7632
1.546e-05 -1312.9 24950.9 10000 27.2395 51.1626 -27.2395
1.547e-05 -1338.76 24117.7 10000 24.7261 52.8068 -24.7261
1.548e-05 -1362.11 23258.8 10000 22.227 54.3975 -22.227
1.549e-05 -1382.97 22374.8 10000 19.7458 55.9327 -19.7458
1.55e-05 -1401.36 21466.8 10000 17.2862 57.411 -17.2862
1.551e-05 -1417.31 20535.7 10000 14.852 58.8305 -14.852
1.552e-05 -1430.83 19582.3 10000 12.4466 60.1898 -12.4466
1.553e-05 -1441.97 18607.8 10000 10.0735 61.4872 -10.0735
1.554e-05 -1450.76 17613.1 10000 7.73626 62.7215 -7.73626
1.555e-05 -1457.23 16599.1 10000 5.43806 63.8912 -5.43806
1.556e-05 -1461.42 15567.1 10000 3.18219 64.9949 -3.18219
1.557e-05 -1463.38 14518 10000 0.971783 66.0315 -0.971783
1.558e-05 -1463.16 13452.8 10000 -1.1901 66.9998 1.1901
1.559e-05 -1460.81 12372.8 10000 -3.30052 67.8987 3.30052
1.56e-05 -1456.37 11279.1 10000 -5.35664 68.7272 5.35664
1.561e-05 -1449.91 10172.7 10000 -7.35573 69.4843 7.35573
1.562e-05 -1441.48 9054.81 10000 -9.29515 70.1691 9.29515
1.563e-05 -1431.15 7926.62 10000 -11.1724 70.781 11.1724
1.564e-05 -1418.97 6789.29 10000 -12.9852 71.3191 12.9852
1.565e-05 -1405.02 5644.01 10000 -14.7311 71.7828 14.7311
1.566e-05 -1389.36 4491.96 10000 -16.4081 72.1715 16.4081
1.567e-05 -1372.07 3334.36 10000 -18.0141 72.4849 18.0141
1.568e-05 -1353.2 2172.41 10000 -19.5473 72.7225 19.5473
1.569e-05 -1332.85 1007.33 10000 -21.0059 72.884 21.0059
1.57e-05 -1311.08 -159.668 10000 -22.3883 72.9692 22.3883
1.571e-05 -1287.96 -1327.35 10000 -23.6931 72.9779 23.6931
1.572e-05 -1263.59 -2494.5 10000 -24.9188 72.9101 24.9188
1.573e-05 -1238.03 -3659.89 10000 -26.0643 72.7657 26.0643
1.574e-05 -1211.38 -4822.3 10000 -27.1286 72.545 27.1286
1.575e-05 -1183.7 -5980.51 10000 -28.1106 72.248 28.1106
1.576e-05 -1155.09 -7133.3 10000 -29.0096 71.8751 29.0096
1.577e-05 -1125.62 -8279.45 10000 -29.8251 71.4266 29.8251
1.578e-05 -1095.39 -9417.77 10000 -30.5564 70.9029 30.5564
1.579e-05 -1064.47 -10547 10000 -31.2033 70.3046 31.2033
1.58e-05 -1032.95 -11666.1 10000 -31.7655 69.6323 31.7655
1.581e-05 -1000.92 -12773.8 10000 -32.2429 68.8865 32.2429
1.582e-05 -968.451 -13868.8 10000 -32.6357 68.0682 32.6357
1.583e-05 -935.638 -14950.2 10000 -32.9441 67.178 32.9441
1.584e-05 -902.564 -16016.7 10000 -33.1684 66.217 33.1684
1.585e-05 -869.311 -17067.2 10000 -33.309 65.1861 33.309
1.586e-05 -835.964 -18100.5 10000 -33.3668 64.0864 33.3668
1.587e-05 -802.604 -19115.7 10000 -33.3424 62.919 33.3424
1.588e-05 -769.313 -20111.7 10000 -33.2367 61.6852 33.2367
1.589e-05 -736.172 -21087.3 10000 -33.0507 60.3862 33.0507
1.59e-05 -703.26 -22041.6 10000 -32.7858 59.0233 32.7858
1.591e-05 -670.657 -22973.5 10000 -32.4431 57.5981 32.4431
1.592e-05 -638.438 -23882.1 10000 -32.024 56.1121 32.024
1.593e-05 -606.679 -24766.3 10000 -31.5302 54.5666 31.5302
1.594e-05 -575.455 -25625.4 10000 -30.9634 52.9635 30.9634
1.595e-05 -544.837 -26458.2 10000 -30.3252 51.3044 30.3252
1.596e-05 -514.895 -27264.1 10000 -29.6176 49.591 29.6176
1.597e-05 -485.698 -28042.1 10000 -28.8427 47.8252 28.8427
1.598e-05 -457.312 -28791.4 10000 -28.0025 46.0088 28.0025
1.599e-05 -429.802 -29511.2 10000 -27.0993 44.1437 27.0993
1.6e-05 -403.228 -30200.7 10000 -26.1354 42.2319 26.1354
1.601e-05 -377.65 -30859.3 10000 -25.1133 40.2755 25.1133
1.602e-05 -353.125 -31486.1 10000 -24.0355 38.2765 24.0355
1.603e-05 -329.707 -32080.7 10000 -22.9045 36.237 22.9045
1.604e-05 -307.448 -32642.2 10000 -21.7232 34.1593 21.7232
1.605e-05 -286.397 -33170.2 10000 -20.4942 32.0454 20.4942
1.606e-05 -266.6 -33664.1 10000 -19.2204 29.8977 19.2204
1.607e-05 -248.1 -34123.3 10000 -17.9048 27.7184 17.9048
1.608e-05 -230.937 -34547.4 10000 -16.5503 25.5099 16.5503
1.609e-05 -215.148 -34935.9 10000 -15.16 23.2744 15.16
1.61e-05 -200.769 -35288.5 10000 -13.737 21.0145 13.737
1.611e-05 -187.828 -35604.6 10000 -12.2844 18.7324 12.2844
1.612e-05 -176.355 -35884.1 10000 -10.8055 16.4307 10.8055
1.613e-05 -166.374 -36126.6 10000 -9.30356 14.1117 9.30356
1.614e-05 -157.906 -36331.9 10000 -7.78177 11.7779 7.78177
1.615e-05 -150.969 -36499.7 10000 -6.2435 9.43184 6.2435
1.616e-05 -145.578 -36629.9 10000 -4.69208 7.076 4.69208
1.617e-05 -141.744 -36722.3 10000 -3.13087 4.71288 3.13087
1.618e-05 -139.475 -36776.9 10000 -1.56326 2.34499 1.56326
1.619e-05 -138.775 -36793.6 10000 0.00738827 -0.0251427 -0.00738827
1.62e-05 -139.646 -36772.3 10000 1.57767 -2.395 -1.57767
1.621e-05 -142.086 -36713.1 10000 3.14419 -4.76205 -3.14419
1.622e-05 -146.088 -36616.2 10000 4.70358 -7.12378 -4.70358
1.623e-05 -151.645 -36481.5 10000 6.25245 -9.47768 -6.25245
1.624e-05 -158.743 -36309.2 10000 7.78747 -11.8212 -7.78747
1.625e-05 -167.367 -36099.5 10000 9.3053 -14.152 -9.3053
1.626e-05 -177.497 -35852.7 10000 10.8026 -16.4674 -10.8026
1.627e-05 -189.113 -35569 10000 12.2762 -18.7651 -12.2762
1.628e-05 -202.187 -35248.6 10000 13.7228 -21.0425 -13.7228
1.629e-05 -216.691 -34892.1 10000 15.1391 -23.2973 -15.1391
1.63e-05 -232.594 -34499.7 10000 16.5222 -25.5271 -16.5222
1.631e-05 -249.86 -34071.8 10000 17.8688 -27.7296 -17.8688
1.632e-05 -268.451 -33609 10000 19.1761 -29.9022 -19.1761
1.633e-05 -288.326 -33111.7 10000 20.4409 -32.0429 -20.4409
1.634e-05 -309.442 -32580.4 10000 21.6604 -34.1493 -21.6604
1.635e-05 -331.751 -32015.7 10000 22.8318 -36.2191 -22.8318
1.636e-05 -355.203 -31418.3 10000 23.9523 -38.2502 -23.9523
1.637e-05 -379.746 -30788.7 10000 25.0193 -40.2405 -25.0193
1.638e-05 -405.326 -30127.7 10000 26.0301 -42.1878 -26.0301
1.639e-05 -431.885 -29435.9 10000 26.9824 -44.0901 -26.9824
1.64e-05 -459.363 -28714.1 10000 27.8737 -45.9454 -27.8737
1.641e-05 -487.698 -27963 10000 28.7017 -47.7517 -28.7017
1.642e-05 -516.824 -27183.4 10000 29.4643 -49.5071 -29.4643
1.643e-05 -546.676 -26376.3 10000 30.1593 -51.2098 -30.1593
1.644e-05 -577.185 -25542.3 10000 30.7847 -52.8579 -30.7847
1.645e-05 -608.281 -24682.5 10000 31.3388 -54.4499 -31.3388
1.646e-05 -639.89 -23797.7 10000 31.8197 -55.9839 -31.8197
1.647e-05 -671.939 -22888.9 10000 32.2258 -57.4585 -32.2258
1.648e-05 -704.353 -21957.1 10000 32.5556 -58.872 -32.5556
1.649e-05 -737.054 -21003.2 10000 32.8078 -60.223 -32.8078
1.65e-05 -769.964 -20028.2 10000 32.9811 -61.5101 -32.9811
1.651e-05 -803.003 -19033.2 10000 33.0743 -62.732 -33.0743
1.652e-05 -836.09 -18019.2 10000 33.0865 -63.8873 -33.0865
1.653e-05 -869.145 -16987.4 10000 33.0167 -64.975 -33.0167
1.654e-05 -902.085 -15938.7 10000 32.8644 -65.9939 -32.8644
1.655e-05 -934.827 -14874.4 10000 32.6288 -66.9429 -32.6288
1.656e-05 -967.287 -13795.4 10000 32.3096 -67.8212 -32.3096
1.657e-05 -999.382 -12703.1 10000 31.9064 -68.6277 -31.9064
1.658e-05 -1031.03 -11598.5 10000 31.4191 -69.3618 -31.4191
1.659e-05 -1062.14 -10482.8 10000 30.8476 -70.0226 -30.8476
1.66e-05 -1092.63 -9357.18 10000 30.192 -70.6096 -30.192
1.661e-05 -1122.42 -8222.82 10000 29.4526 -71.1222 -29.4526
1.662e-05 -1151.43 -7080.92 10000 28.6298 -71.5598 -28.6298
1.663e-05 -1179.57 -5932.67 10000 27.7242 -71.9221 -27.7242
1.664e-05 -1206.76 -4779.3 10000 26.7363 -72.2087 -26.7363
1.665e-05 -1232.91 -3622 10000 25.6671 -72.4194 -25.6671
1.666e-05 -1257.95 -2462.01 10000 24.5175 -72.5541 -24.5175
1.667e-05 -1281.8 -1300.52 10000 23.2885 -72.6127 -23.2885
1.668e-05 -1304.38 -138.776 10000 21.9815 -72.5951 -21.9815
1.669e-05 -1325.61 1022.02 10000 20.5978 -72.5015 -20.5978
1.67e-05 -1345.41 2180.65 10000 19.139 -72.332 -19.139
1.671e-05 -1363.71 3335.91 10000 17.6066 -72.0869 -17.6066
1.672e-05 -1380.44 4486.58 10000 16.0024 -71.7665 -16.0024
1.673e-05 -1395.53 5631.46 10000 14.3284 -71.3712 -14.3284
1.674e-05 -1408.9 6769.37 10000 12.5866 -70.9016 -12.5866
1.675e-05 -1420.5 7899.11 10000 10.7792 -70.3581 -10.7792
1.676e-05 -1430.26 9019.51 10000 8.90843 -69.7415 -8.90843
1.677e-05 -1438.11 10129.4 10000 6.97671 -69.0525 -6.97671
1.678e-05 -1443.99 11227.6 10000 4.98655 -68.2919 -4.98655
1.679e-05 -1447.86 12313.1 10000 2.9406 -67.4605 -2.9406
1.68e-05 -1449.65 13384.6 10000 0.841611 -66.5594 -0.841611
1.681e-05 -1449.31 14441.1 10000 -1.30758 -65.5896 1.30758
1.682e-05 -1446.8 15481.5 10000 -3.50401 -64.5522 3.50401
1.683e-05 -1442.07 16504.7 10000 -5.74462 -63.4483 5.74462
1.684e-05 -1435.07 17509.7 10000 -8.02628 -62.2793 8.02628
1.685e-05 -1425.77 18495.4 10000 -10.3457 -61.0463 10.3457
1.686e-05 -1414.14 19460.8 10000 -12.6997 -59.751 12.6997
1.687e-05 -1400.13 20405 10000 -15.0847 -58.3946 15.0847
1.688e-05 -1383.72 21326.9 10000 -17.4973 -56.9787 17.4973
1.689e-05 -1364.88 22225.7 10000 -19.9339 -55.5049 19.9339
1.69e-05 -1343.6 23100.4 10000 -22.3909 -53.9748 22.3909
1.691e-05 -1319.85 23950.1 10000 -24.8647 -52.3902 24.8647
1.692e-05 -1293.62 24774 10000 -27.3514 -50.7528 27.3514
1.693e-05 -1264.89 25571.2 10000 -29.8473 -49.0643 29.8473
1.694e-05 -1233.67 26341 10000 -32.3486 -47.3267 32.3486
1.695e-05 -1199.94 27082.6 10000 -34.8513 -45.542 34.8513
1.696e-05 -1163.72 27795.3 10000 -37.3516 -43.7119 37.3516
1.697e-05 -1124.99 28478.2 10000 -39.8454 -41.8387 39.8454
1.698e-05 -1083.78 29130.8 10000 -42.3288 -39.9242 42.3288
1.699e-05 -1040.09 29752.5 10000 -44.7979 -37.9707 44.7979
1.7e-05 -993.946 30342.5 10000 -47.2485 -35.9803 47.2485
1.701e-05 -945.36 30900.5 10000 -49.6768 -33.955 49.6768
1.702e-05 -894.36 31425.7 10000 -52.0786 -31.8973 52.0786
1.703e-05 -840.974 31917.7 10000 -54.4499 -29.8092 54.4499
1.704e-05 -785.236 32376 10000 -56.7868 -27.693 56.7868
1.705e-05 -727.182 32800.3 10000 -59.0853 -25.5511 59.0853
1.706e-05 -666.852 33190.1 10000 -61.3413 -23.3858 61.3413
1.707e-05 -604.291 33545.1 10000 -63.551 -21.1994 63.551
1.708e-05 -539.548 33864.9 10000 -65.7105 -18.9944 65.7105
1.709e-05 -472.675 34149.3 10000 -67.8157 -16.7729 67.8157
1.71e-05 -403.728 34398 10000 -69.863 -14.5376 69.863
1.711e-05 -332.768 34610.8 10000 -71.8486 -12.2907 71.8486
1.712e-05 -259.858 34787.6 10000 -73.7687 -10.0347 73.7687
1.713e-05 -185.065 34928.3 10000 -75.6197 -7.77199 75.6197
1.714e-05 -108.461 35032.7 10000 -77.398 -5.50503 77.398
1.715e-05 -30.1208 35100.8 10000 -79.1 -3.23622 79.1
1.716e-05 49.8782 35132.6 10000 -80.7223 -0.968004 80.7223
1.717e-05 131.454 35128.2 10000 -82.2617 1.29721 82.2617
1.718e-05 214.522 35087.5 10000 -83.7147 3.55702 83.7147
1.719e-05 298.994 35010.8 10000 -85.0782 5.809 85.0782
1.72e-05 384.779 34898.1 10000 -86.3491 8.05079 86.3491
1.721e-05 471.783 34749.6 10000 -87.5245 10.28 87.5245
1.722e-05 559.908 34565.7 10000 -88.6015 12.4943 88.6015
1.723e-05 649.055 34346.4 10000 -89.5774 14.6912 89.5774
1.724e-05 739.12 34092.1 10000 -90.4495 16.8686 90.4495
1.725e-05 830 33803.2 10000 -91.2152 19.0242 91.2152
1.726e-05 921.586 33480.1 10000 -91.8723 21.1556 91.8723
1.727e-05 1013.77 33123 10000 -92.4185 23.2606 92.4185
1.728e-05 1106.43 32732.5 10000 -92.8515 25.3371 92.8515
1.729e-05 1199.47 32309.1 10000 -93.1696 27.3828 93.1696
1.73e-05 1292.76 31853.2 10000 -93.3707 29.3957 93.3707
1.731e-05 1386.19 31365.4 10000 -93.4533 31.3736 93.4533
1.732e-05 1479.63 30846.3 10000 -93.4157 33.3146 93.4157
1.733e-05 1572.97 30296.5 10000 -93.2567 35.2166 93.2567
1.734e-05 1666.08 29716.6 10000 -92.9749 37.0776 92.9749
1.735e-05 1758.84 29107.3 10000 -92.5692 38.8958 92.5692
1.736e-05 1851.13 28469.3 10000 -92.0389 40.6693 92.0389
1.737e-05 1942.82 27803.3 10000 -91.383 42.3963 91.383
