t 1 2 3 jL1 jL2 jV0300 
8e-07 -8103.42 5014.72 10000 164.512 11.5499 -164.512
8.1e-07 -8263.16 4823.76 10000 155.815 12.2489 -155.815
8.2e-07 -8414.12 4621.67 10000 146.968 12.9423 -146.968
8.3e-07 -8556.15 4408.54 10000 137.98 13.6291 -137.98
8.4e-07 -8689.13 4184.49 10000 128.86 14.3081 -128.86
8.5e-07 -8812.92 3949.65 10000 119.619 14.9783 -119.619
8.6e-07 -8927.4 3704.17 10000 110.266 15.6384 -110.266
8.7e-07 -9032.47 3448.23 10000 100.812 16.2874 -100.812
8.8e-07 -9128.04 3182.02 10000 91.2668 16.9241 -91.2668
8.9e-07 -9214.02 2905.73 10000 81.641 17.5475 -81.641
9e-07 -9290.33 2619.59 10000 71.945 18.1564 -71.945
9.1e-07 -9356.92 2323.84 10000 62.1892 18.7498 -62.1892
9.2e-07 -9413.72 2018.75 10000 52.3841 19.3267 -52.3841
9.3e-07 -9460.69 1704.58 10000 42.5404 19.8858 -42.5404
9.4e-07 -9497.8 1381.62 10000 32.6686 20.4264 -32.6686
9.5e-07 -9525.03 1050.19 10000 22.7793 20.9472 -22.7793
9.6e-07 -9542.37 710.604 10000 12.8832 21.4473 -12.8832
9.7e-07 -9549.81 363.207 10000 2.99077 21.9258 -2.99077
9.8e-07 -9547.37 8.35159 10000 -6.88734 22.3817 6.88734
9.9e-07 -9535.06 -353.591 10000 -16.7406 22.814 16.7406
1e-06 -9512.92 -722.237 10000 -26.5585 23.2219 26.5585
1.01e-06 -9480.98 -1097.19 10000 -36.3306 23.6044 36.3306
1.02e-06 -9439.3 -1478.03 10000 -46.0465 23.9608 46.0465
1.03e-06 -9387.94 -1864.34 10000 -55.6959 24.2902 55.6959
1.04e-06 -9326.97 -2255.67 10000 -65.2687 24.5918 65.2687
1.05e-06 -9256.48 -2651.58 10000 -74.7546 24.8649 74.7546
1.06e-06 -9176.55 -3051.6 10000 -84.1438 25.1087 84.1438
1.07e-06 -9087.29 -3455.27 10000 -93.4263 25.3226 93.4263
1.08e-06 -8988.82 -3862.08 10000 -102.592 25.5059 102.592
1.09e-06 -8881.24 -4271.55 10000 -111.633 25.658 111.633
1.1e-06 -8764.7 -4683.18 10000 -120.537 25.7783 120.537
1.11e-06 -8639.33 -5096.45 10000 -129.297 25.8663 129.297
1.12e-06 -8505.29 -5510.85 10000 -137.903 25.9216 137.903
1.13e-06 -8362.73 -5925.83 10000 -146.347 25.9435 146.347
1.14e-06 -8211.82 -6340.87 10000 -154.619 25.9318 154.619
1.15e-06 -8052.73 -6755.42 10000 -162.711 25.886 162.711
1.16e-06 -7885.66 -7168.93 10000 -170.614 25.8059 170.614
1.17e-06 -7710.79 -7580.86 10000 -178.322 25.6911 178.322
1.18e-06 -7528.32 -7990.65 10000 -185.825 25.5415 185.825
1.19e-06 -7338.47 -8397.74 10000 -193.116 25.3568 193.116
1.2e-06 -7141.45 -8801.56 10000 -200.188 25.1368 200.188
1.21e-06 -6937.47 -9201.55 10000 -207.034 24.8816 207.034
1.22e-06 -6726.78 -9597.14 10000 -213.646 24.591 213.646
1.23e-06 -6509.61 -9987.77 10000 -220.019 24.265 220.019
1.24e-06 -6286.2 -10372.9 10000 -226.146 23.9037 226.146
1.25e-06 -6056.8 -10751.9 10000 -232.02 23.5072 232.02
1.26e-06 -5821.67 -11124.3 10000 -237.637 23.0755 237.637
1.27e-06 -5581.07 -11489.4 10000 -242.99 22.609 242.99
1.28e-06 -5335.26 -11846.8 10000 -248.075 22.1078 248.075
1.29e-06 -5084.52 -12195.8 10000 -252.886 21.5723 252.886
1.3e-06 -4829.12 -12536 10000 -257.42 21.0027 257.42
1.31e-06 -4569.33 -12866.8 10000 -261.671 20.3994 261.671
1.32e-06 -4305.46 -13187.6 10000 -265.637 19.7629 265.637
1.33e-06 -4037.78 -13498 10000 -269.313 19.0937 269.313
1.34e-06 -3766.58 -13797.4 10000 -272.695 18.3922 272.695
1.35e-06 -3492.16 -14085.2 10000 -275.783 17.6591 275.783
1.36e-06 -3214.82 -14361.1 10000 -278.571 16.895 278.571
1.37e-06 -2934.85 -14624.5 10000 -281.059 16.1004 281.059
1.38e-06 -2652.57 -14874.9 10000 -283.244 15.2762 283.244
1.39e-06 -2368.26 -15111.8 10000 -285.125 14.4231 285.125
1.4e-06 -2082.25 -15334.9 10000 -286.701 13.5419 286.701
1.41e-06 -1794.82 -15543.6 10000 -287.97 12.6335 287.97
1.42e-06 -1506.3 -15737.5 10000 -288.932 11.6986 288.932
1.43e-06 -1216.98 -15916.3 10000 -289.586 10.7383 289.586
1.44e-06 -927.179 -16079.5 10000 -289.934 9.7535 289.934
1.45e-06 -637.198 -16226.7 10000 -289.974 8.74521 289.974
1.46e-06 -347.345 -16357.6 10000 -289.708 7.71448 289.708
1.47e-06 -57.9255 -16471.8 10000 -289.137 6.66239 289.137
1.48e-06 230.756 -16568.9 10000 -288.263 5.59006 288.263
1.49e-06 518.397 -16648.8 10000 -287.087 4.49863 287.087
1.5e-06 804.696 -16711 10000 -285.611 3.3893 285.611
1.51e-06 1089.36 -16755.4 10000 -283.837 2.26329 283.837
1.52e-06 1372.08 -16781.6 10000 -281.769 1.12184 281.769
1.53e-06 1652.57 -16789.4 10000 -279.409 -0.0337743 279.409
1.54e-06 1930.55 -16778.6 10000 -276.76 -1.20223 276.76
1.55e-06 2205.72 -16749 10000 -273.827 -2.38221 273.827
1.56e-06 2477.8 -16700.4 10000 -270.613 -3.57235 270.613
1.57e-06 2746.52 -16632.7 10000 -267.122 -4.77126 267.122
1.58e-06 3011.59 -16545.7 10000 -263.359 -5.97754 263.359
1.59e-06 3272.76 -16439.4 10000 -259.329 -7.18978 259.329
1.6e-06 3529.75 -16313.7 10000 -255.037 -8.40652 255.037
1.61e-06 3782.3 -16168.5 10000 -250.488 -9.6263 250.488
1.62e-06 4030.17 -16003.7 10000 -245.688 -10.8477 245.688
1.63e-06 4273.1 -15819.4 10000 -240.643 -12.0691 240.643
1.64e-06 4510.86 -15615.5 10000 -235.359 -13.2891 235.359
1.65e-06 4743.2 -15392.2 10000 -229.842 -14.5063 229.842
1.66e-06 4969.91 -15149.4 10000 -224.099 -15.7189 224.099
1.67e-06 5190.74 -14887.3 10000 -218.136 -16.9256 218.136
1.68e-06 5405.5 -14605.9 10000 -211.962 -18.1249 211.962
1.69e-06 5613.97 -14305.4 10000 -205.583 -19.3151 205.583
1.7e-06 5815.95 -13986 10000 -199.006 -20.4948 199.006
1.71e-06 6011.25 -13647.8 10000 -192.24 -21.6624 192.24
1.72e-06 6199.69 -13291 10000 -185.292 -22.8165 185.292
1.73e-06 6381.07 -12915.9 10000 -178.171 -23.9554 178.171
1.74e-06 6555.25 -12522.7 10000 -170.884 -25.0777 170.884
1.75e-06 6722.05 -12111.7 10000 -163.439 -26.182 163.439
1.76e-06 6881.33 -11683.2 10000 -155.847 -27.2666 155.847
1.77e-06 7032.93 -11237.6 10000 -148.114 -28.3302 148.114
1.78e-06 7176.73 -10775.1 10000 -140.251 -29.3712 140.251
1.79e-06 7312.6 -10296.2 10000 -132.265 -30.3883 132.265
1.8e-06 7440.42 -9801.22 10000 -124.166 -31.38 124.166
1.81e-06 7560.08 -9290.61 10000 -115.963 -32.3449 115.963
1.82e-06 7671.49 -8764.81 10000 -107.665 -33.2816 107.665
1.83e-06 7774.55 -8224.28 10000 -99.2822 -34.1889 99.2822
1.84e-06 7869.19 -7669.51 10000 -90.8227 -35.0653 90.8227
1.85e-06 7955.33 -7100.99 10000 -82.2965 -35.9095 82.2965
1.86e-06 8032.91 -6519.26 10000 -73.7129 -36.7203 73.7129
