t 1 2 3 4 5 6 7 jL1 8 jL2 9 jE11 jO1 jV1 
0.78 -0.711568 -2.1347 1.86624 0.900551 -1.4028 -0.711568 0 0 0 -0 -3.1347 2.18266 2.8056 -2.09403 
0.8 -0.725102 -2.17531 1.86624 0.900551 -1.40183 -0.725102 0 0 0 -0 -3.17531 2.18266 2.80366 -2.07856 
0.82 -0.738341 -2.21502 1.86624 0.900551 -1.4003 -0.738341 0 0 0 -0 -3.21502 2.18266 2.80061 -2.06227 
0.84 -0.75128 -2.25384 1.86624 0.900551 -1.39822 -0.75128 0 0 0 -0 -3.25384 2.18266 2.79644 -2.04516 
0.86 -0.763913 -2.29174 1.86624 0.900551 -1.39557 -0.763913 0 0 0 -0 -3.29174 2.18266 2.79115 -2.02723 
0.88 -0.776236 -2.32871 1.86624 0.900551 -1.39237 -0.776236 0 0 0 -0 -3.32871 2.18266 2.78474 -2.00851 
0.9 -0.788243 -2.36473 1.86624 0.900551 -1.38861 -0.788243 0 0 0 -0 -3.36473 2.18266 2.77723 -1.98898 
0.92 -0.799931 -2.39979 1.86624 0.900551 -1.3843 -0.799931 0 0 0 -0 -3.39979 2.18266 2.7686 -1.96867 
0.94 -0.811294 -2.43388 1.86624 0.900551 -1.37944 -0.811294 0 0 0 -0 -3.43388 2.18266 2.75888 -1.94758 
0.96 -0.822328 -2.46698 1.86624 0.900551 -1.37403 -0.822328 0 0 0 -0 -3.46698 2.18266 2.74805 -1.92573 
0.98 -0.833029 -2.49909 1.86624 0.900551 -1.36807 -0.833029 0 0 0 -0 -3.49909 2.18266 2.73613 -1.90311 
1 -0.843392 -2.53018 1.86624 0.900551 -1.36156 -0.843392 0 0 0 -0 -3.53018 2.18266 2.72312 -1.87973 
1.02 -0.853414 -2.56024 1.86624 0.900551 -1.35452 -0.853414 0 0 0 -0 -3.56024 2.18266 2.70903 -1.85562 
1.04 -0.863091 -2.58927 1.86624 0.900551 -1.34693 -0.863091 0 0 0 -0 -3.58927 2.18266 2.69386 -1.83077 
1.06 -0.872419 -2.61726 1.86624 0.900551 -1.33881 -0.872419 0 0 0 -0 -3.61726 2.18266 2.67762 -1.8052 
1.08 -0.881394 -2.64418 1.86624 0.900551 -1.33016 -0.881394 0 0 0 -0 -3.64418 2.18266 2.66032 -1.77892 
1.1 -0.890013 -2.67004 1.86624 0.900551 -1.32098 -0.890013 0 0 0 -0 -3.67004 2.18266 2.64195 -1.75194 
1.12 -0.898273 -2.69482 1.86624 0.900551 -1.31127 -0.898273 0 0 0 -0 -3.69482 2.18266 2.62254 -1.72427 
1.14 -0.906171 -2.71851 1.86624 0.900551 -1.30105 -0.906171 0 0 0 -0 -3.71851 2.18266 2.60209 -1.69592 
1.16 -0.913703 -2.74111 1.86624 0.900551 -1.2903 -0.913703 0 0 0 -0 -3.74111 2.18266 2.58061 -1.6669 
