t 1 2 3 4 5 6 jO0300 jO0600 jV0200 
8.9e-07 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
9e-07 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
9.1e-07 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
9.2e-07 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
9.3e-07 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
9.4e-07 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
9.5e-07 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
9.6e-07 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
9.7e-07 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
9.8e-07 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
9.9e-07 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.01e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.02e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.03e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.04e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.05e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.06e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.07e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.08e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.09e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.1e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.11e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.12e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.13e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.14e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.15e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.16e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
